"","bathydemersal","bathypelagic","benthopelagic","demersal","pelagic","pelagic-neritic","pelagic-oceanic","reef-associated"
"Other species",144,25,46,130,1,8,58,58
"Top 20 ED",3,0,1,5,0,0,2,2
