"Rank_ED","species_tree","species","ED"
94,"Iago_garricki","Iago garricki",60.7852256005795
95,"Iago_omanensis","Iago omanensis",60.7852256005795
96,"Aetomylaeus_maculatus","Aetomylaeus maculatus",60.6993941181752
97,"Trygonoptera_ovalis","Trygonoptera ovalis",60.3698056909374
98,"Trygonoptera_galba","Trygonoptera galba",60.3698056909374
99,"Aptychotrema_timorensis","Aptychotrema timorensis",60.2571069563372
100,"Aptychotrema_rostrata","Aptychotrema rostrata",60.2571069563372
101,"Galeus_eastmani","Galeus eastmani",59.7446250819335
102,"Galeus_sauteri","Galeus sauteri",59.7446250819335
103,"Acroteriobatus_leucospilus","Acroteriobatus leucospilus",58.566417482125
104,"Gymnura_afuerae","Gymnura afuerae",58.5411278745219
105,"Gymnura_micrura","Gymnura micrura",58.5411278745219
106,"Trygonoptera_personata","Trygonoptera personata",58.5236766559374
107,"Apristurus_exsanguis","Apristurus exsanguis",58.4361173975862
108,"Neotrygon_ningalooensis","Neotrygon ningalooensis",58.1997043503903
109,"Squatina_japonica","Squatina japonica",58.1880771596058
110,"Centrophorus_squamosus","Centrophorus squamosus",58.1172650973285
111,"Rhinochimaera_pacifica","Rhinochimaera pacifica",57.744255677646
112,"Urolophus_gigas","Urolophus gigas",57.7433412295737
113,"Eusphyra_blochii","Eusphyra blochii",57.6366012181726
114,"Megachasma_pelagios","Megachasma pelagios",57.3558081382776
115,"Diplobatis_guamachensis","Diplobatis guamachensis",57.3421858618846
116,"Hexanchus_griseus","Hexanchus griseus",57.2145800853107
117,"Hexanchus_nakamurai","Hexanchus nakamurai",57.2145800853107
118,"Loxodon_macrorhinus","Loxodon macrorhinus",56.4260381866318
119,"Gollum_attenuatus","Gollum attenuatus",55.764932339759
120,"Gollum_suluensis","Gollum suluensis",55.764932339759
121,"Neoharriotta_pumila","Neoharriotta pumila",55.4099624073126
122,"Neoharriotta_carri","Neoharriotta carri",55.4099624073126
123,"Triakis_semifasciata","Triakis semifasciata",55.3782223672081
124,"Centroscymnus_coelolepis","Centroscymnus coelolepis",55.2126461840744
125,"Rhinobatos_jimbaranensis","Rhinobatos jimbaranensis",55.1001698070774
126,"Rhinobatos_holcorhynchus","Rhinobatos holcorhynchus",55.1001698070774
127,"Makararaja_chindwinensis","Makararaja chindwinensis",54.6192303386488
128,"Orectolobus_hutchinsi","Orectolobus hutchinsi",54.3822927803986
129,"Orectolobus_parvimaculatus","Orectolobus parvimaculatus",54.3822927803986
130,"Dasyatis_marmorata","Dasyatis marmorata",54.2985781748433
131,"Chaenogaleus_macrostoma","Chaenogaleus macrostoma",54.283895606231
132,"Heterodontus_portusjacksoni","Heterodontus portusjacksoni",54.1255254929493
133,"Heterodontus_galeatus","Heterodontus galeatus",54.1255254929493
134,"Chiloscyllium_indicum","Chiloscyllium indicum",53.9315144459765
135,"Chiloscyllium_plagiosum","Chiloscyllium plagiosum",53.9315144459765
136,"Atelomycterus_baliensis","Atelomycterus baliensis",53.5882789284473
137,"Atelomycterus_marmoratus","Atelomycterus marmoratus",53.5882789284473
138,"Gymnura_poecilura","Gymnura poecilura",53.3697147566648
