"tip.label","mean_ED","median_ED","sd_ED","mean_rank","median_rank","top20_count","top20_frequency","species"
"Trygonoptera_ovalis",61.8547546777912,65.0670265803167,12.3178196992962,109.51,83,0,0,"Trygonoptera ovalis"
"Galeorhinus_galeus",62.840235218251,68.07033504493,17.4078557623174,111.1,79.5,0,0,"Galeorhinus galeus"
"Dalatias_licha",70.6318992979005,68.2824180026758,26.890556607791,111.22,61.5,3,0.03,"Dalatias licha"
"Alopias_vulpinus",65.7755882470029,63.4506507099522,20.8365522468157,113.95,68.5,0,0,"Alopias vulpinus"
"Alopias_pelagicus",64.3620027273968,57.4600368724473,20.8039273157382,117.57,83,0,0,"Alopias pelagicus"
"Hypogaleus_hyugaensis",62.443221071494,67.6388788942267,17.4640464298733,117.86,80.5,0,0,"Hypogaleus hyugaensis"
"Squaliolus_laticaudus",62.6073009161602,60.9673537537024,17.7832758748572,118.36,88,0,0,"Squaliolus laticaudus"
"Eusphyra_blochii",56.2210212390519,57.6542330542371,9.09153567314284,125.42,125.5,0,0,"Eusphyra blochii"
"Loxodon_macrorhinus",54.8162357131403,55.3869478355764,7.83200245715894,132.36,135,0,0,"Loxodon macrorhinus"
"Aulohalaelurus_labiosus",56.1543865917715,56.1928660505783,11.9246535366233,134.68,135.5,0,0,"Aulohalaelurus labiosus"
"Megachasma_pelagios",62.6132057658812,58.632115479936,22.9514132985602,134.75,127,8,0.08,"Megachasma pelagios"
"Aulohalaelurus_kanakorum",56.1543865917715,56.1928660505783,11.9246535366233,135.68,136.5,0,0,"Aulohalaelurus kanakorum"
"Pristiophorus_japonicus",60.5181077867796,56.3157683401689,18.0177064469174,135.93,89.5,0,0,"Pristiophorus japonicus"
"Rhincodon_typus",60.6770658561575,55.1894391022186,19.272274733173,137.54,123,4,0.04,"Rhincodon typus"
"Pseudotriakis_microdon",58.4177789287352,56.167504845553,17.6306514954865,138.31,117.5,0,0,"Pseudotriakis microdon"
"Pseudocarcharias_kamoharai",61.2795746826228,56.6332701219552,22.8951221924137,139.08,142,6,0.06,"Pseudocarcharias kamoharai"
"Stegostoma_fasciatum",60.028889120862,54.5866015623653,18.1077532173709,139.55,129,4,0.04,"Stegostoma fasciatum"
"Aetomylaeus_maculatus",55.3546792389621,55.3133680672367,10.5821082271661,148.54,105.5,0,0,"Aetomylaeus maculatus"
"Centroselachus_crepidater",56.073115161417,61.3862900500543,14.9383950345586,148.57,119,0,0,"Centroselachus crepidater"
"Ginglymostoma_cirratum",54.87355080161,54.8841204962552,10.4348427812452,149.27,127,0,0,"Ginglymostoma cirratum"
"Galeus_eastmani",53.277888515116,56.1339873865403,11.0054932290821,150.7,140,0,0,"Galeus eastmani"
"Chaenogaleus_macrostoma",52.4491091480335,54.4533448960976,8.6814856852722,151.18,153,0,0,"Chaenogaleus macrostoma"
"Galeus_sauteri",53.277888515116,56.1339873865403,11.0054932290821,151.7,141,0,0,"Galeus sauteri"
"Cirrhoscyllium_formosanum",57.6854516122739,55.3036405040571,18.5048812961371,152.75,141,5,0.05,"Cirrhoscyllium formosanum"
"Nebrius_ferrugineus",54.7591703121546,53.7459021542984,11.8129884345147,154.08,127,0,0,"Nebrius ferrugineus"
"Heterodontus_ramalheira",56.9787259017831,56.6467902355782,18.2419476274792,155.14,131,1,0.01,"Heterodontus ramalheira"
"Rhinobatos_lentiginosus",65.2642909270637,58.0397976727485,29.6541150418134,155.49,99.5,21,0.21,"Rhinobatos lentiginosus"
"Rhinochimaera_pacifica",52.6947375748041,53.5423285230135,5.01616956530116,157.12,141.5,0,0,"Rhinochimaera pacifica"
"Harriotta_raleighana",52.6475325212682,50.7559813723654,6.31802279089488,157.21,155.5,0,0,"Harriotta raleighana"
"Harriotta_haeckeli",52.6475325212682,50.7559813723654,6.31802279089488,158.21,156.5,0,0,"Harriotta haeckeli"
"Sphyrna_mokarran",51.2344905500748,52.4086677927931,7.74301089655218,159.74,159,0,0,"Sphyrna mokarran"
"Cirrhoscyllium_japonicum",57.3808213111433,54.9518313601668,19.2393662210367,159.75,141.5,4,0.04,"Cirrhoscyllium japonicum"
"Trygonoptera_personata",53.4891679072338,55.5138263605349,10.2994111730744,159.87,126,0,0,"Trygonoptera personata"
"Pseudoginglymostoma_brevicaudatum",57.1699868456184,53.047482298504,18.0187539286631,160.35,148.5,5,0.05,"Pseudoginglymostoma brevicaudatum"
"Cirrhoscyllium_expolitum",56.2540880203189,53.7332555510608,17.4861887573622,160.8,149,2,0.02,"Cirrhoscyllium expolitum"
"Cirrhigaleus_asper",59.8617289663649,67.6098790869185,21.4036275265885,163.67,78,0,0,"Cirrhigaleus asper"
"Rhinochimaera_africana",51.5319112800518,51.2038534594044,5.53821968071988,167.4,149,0,0,"Rhinochimaera africana"
"Rhinobatos_penggali",58.324551347309,56.8386691357746,21.2220008759766,169.94,116.5,0,0,"Rhinobatos penggali"
"Pristiophorus_nudipinnis",54.2455538448516,52.9543488259178,15.9678947718518,171.61,130,0,0,"Pristiophorus nudipinnis"
"Centroscymnus_coelolepis",53.3090083157222,59.6990885859313,14.8550382958279,172.8,121.5,0,0,"Centroscymnus coelolepis"
"Heterodontus_quoyi",55.6983852022957,51.1992194646741,22.2163810498506,175.91,171.5,4,0.04,"Heterodontus quoyi"
"Planonasus_parini",53.3647351343152,52.9812895631374,16.7874298882045,177.24,162.5,1,0.01,"Planonasus parini"
"Heterodontus_omanensis",53.9971701705798,50.6861099452666,18.619922064281,180.93,178,2,0.02,"Heterodontus omanensis"
"Heterodontus_japonicus",54.6657409067549,49.3984460762785,21.1557312229981,181.64,180,5,0.05,"Heterodontus japonicus"
"Narcine_lasti",49.7083585353963,49.511865178282,6.02586970394365,184.62,184.5,0,0,"Narcine lasti"
"Narcine_tasmaniensis",49.7083585353963,49.511865178282,6.02586970394365,185.62,185.5,0,0,"Narcine tasmaniensis"
"Urobatis_jamaicensis",53.5075537822059,57.250721877863,15.2756328756864,187.44,110,0,0,"Urobatis jamaicensis"
"Rhinochimaera_atlantica",49.6744337613401,48.3282540575862,6.58074271685605,187.81,184,0,0,"Rhinochimaera atlantica"
"Odontaspis_noronhai",52.1675959774033,51.9599075517547,15.8880666562616,189.62,168,0,0,"Odontaspis noronhai"
"Odontaspis_ferox",52.1675959774033,51.9599075517547,15.8880666562616,190.62,169,0,0,"Odontaspis ferox"
"Cephalurus_cephalus",58.4098913265375,49.5177924520743,28.3153125524341,192.22,185,10,0.1,"Cephalurus cephalus"
"Aetomylaeus_nichofii",50.9890228859413,47.9466074723205,13.4671547392925,192.65,185.5,1,0.01,"Aetomylaeus nichofii"
"Pristiophorus_cirratus",51.197725954301,50.2004759459751,14.0580929261253,194.47,163.5,0,0,"Pristiophorus cirratus"
"Furgaleus_macki",51.236130137417,57.6968657996102,14.9335008947415,194.5,126.5,0,0,"Furgaleus macki"
"Sphyrna_zygaena",47.6007768248815,48.6332072873175,6.99209972384569,195.31,193.5,0,0,"Sphyrna zygaena"
"Schroederichthys_bivius",53.2326719692998,50.4612975147521,19.4812214085936,195.95,173.5,0,0,"Schroederichthys bivius"
"Gymnura_japonica",54.6525698000209,49.8703372711098,19.0008873510175,196.17,183.5,2,0.02,"Gymnura japonica"
"Heterodontus_portusjacksoni",50.2768774670185,49.5302291622737,15.4874851516685,197.45,186,1,0.01,"Heterodontus portusjacksoni"
"Schroederichthys_saurisqualus",52.6662790375216,49.8126868759735,19.0502549243754,200.69,191.5,3,0.03,"Schroederichthys saurisqualus"
"Pentanchus_profundicolus",57.9135989263562,51.4633007617227,25.5615785373334,201.52,153,7,0.07,"Pentanchus profundicolus"
"Schroederichthys_chilensis",52.6106886525177,46.9441635583766,19.4462040471985,201.63,210,2,0.02,"Schroederichthys chilensis"
"Hemigaleus_microstoma",47.1564732447375,48.8247759218513,7.9841793061366,201.75,203.5,0,0,"Hemigaleus microstoma"
"Heterodontus_galeatus",49.4856102706983,48.6901040156907,14.0616440426832,202.63,198.5,0,0,"Heterodontus galeatus"
"Hemigaleus_australiensis",47.1564732447375,48.8247759218513,7.9841793061366,202.75,204.5,0,0,"Hemigaleus australiensis"
"Schroederichthys_tenuis",52.016947638907,48.4785907758814,18.1437976271416,202.87,195.5,3,0.03,"Schroederichthys tenuis"
"Gollum_attenuatus",48.8990400609903,49.8417985764179,12.7151714863505,204.85,188,0,0,"Gollum attenuatus"
"Gollum_suluensis",48.8990400609903,49.8417985764179,12.7151714863505,205.85,189,0,0,"Gollum suluensis"
"Himantura_schmardae",46.8159500147168,46.6882014138542,6.10806778088798,205.88,217,0,0,"Himantura schmardae"
"Himantura_pacifica",46.8159500147168,46.6882014138542,6.10806778088798,206.88,218,0,0,"Himantura pacifica"
"Atelomycterus_marmoratus",47.0949621799261,47.9637540737018,7.39289746291062,206.89,196,0,0,"Atelomycterus marmoratus"
"Schroederichthys_maculatus",50.9017659468736,47.9075848206533,17.2220578147866,206.9,200.5,1,0.01,"Schroederichthys maculatus"
"Atelomycterus_baliensis",47.0561971781381,47.5846286915826,7.42613529239963,207.73,199,0,0,"Atelomycterus baliensis"
"Squaliolus_aliae",49.3412988161515,50.6910898491313,14.5333121077833,209.11,177.5,0,0,"Squaliolus aliae"
"Trygonoptera_testacea",46.9336883508028,48.1178026439875,7.71797137440719,209.67,193,0,0,"Trygonoptera testacea"
"Gymnura_australis",54.5573789446925,48.6779806212261,21.6853635341392,210.46,178,2,0.02,"Gymnura australis"
"Parascyllium_sparsimaculatum",50.5876638957948,46.4119606854367,17.3180024895641,213.85,217,3,0.03,"Parascyllium sparsimaculatum"
"Gymnura_poecilura",51.3445614193948,47.6117037141192,16.431170857449,213.86,187,0,0,"Gymnura poecilura"
"Rostroraja_alba",46.4372303908807,47.8106582541985,10.1281046881983,216.27,218,0,0,"Rostroraja alba"
"Parascyllium_collare",52.0994132104381,45.8104405166073,22.3478149784474,216.91,218.5,3,0.03,"Parascyllium collare"
"Euprotomicrus_bispinatus",48.6257288959819,47.12356969749,14.3379168402548,217.98,191,0,0,"Euprotomicrus bispinatus"
"Taeniurops_grabata",47.3533836029008,50.6056486770169,12.6165848818938,218.38,196.5,0,0,"Taeniurops grabata"
"Parascyllium_ferrugineum",49.9404934672961,44.4731240626673,19.7955208017011,219.3,213,1,0.01,"Parascyllium ferrugineum"
"Taeniurops_meyeni",47.3533836029008,50.6056486770169,12.6165848818938,219.38,197.5,0,0,"Taeniurops meyeni"
"Heterodontus_zebra",47.6205050742186,47.1024505611119,13.6090464933473,219.76,229,0,0,"Heterodontus zebra"
"Squatina_africana",50.5631147061394,49.5107924685097,17.9430152592547,220.08,200.5,0,0,"Squatina africana"
"Rhinobatos_jimbaranensis",52.0415349852251,49.9801937540322,20.5898154423284,221.58,184.5,0,0,"Rhinobatos jimbaranensis"
"Squatina_squatina",47.3187860123341,49.3400261665623,12.6140888357934,221.76,200,0,0,"Squatina squatina"
"Parascyllium_elongatum",49.1874719940479,46.1869440604895,16.2875793222321,223.43,209,1,0.01,"Parascyllium elongatum"
"Gymnura_zonura",50.9838039567927,46.9781490029634,17.5807514810587,224.23,222,0,0,"Gymnura zonura"
"Isistius_plutodus",49.468875115278,47.0161054254983,17.8394388707737,226.36,212,0,0,"Isistius plutodus"
"Isistius_brasiliensis",48.4847656511195,47.7550461855003,15.4768787690888,227.05,203.5,0,0,"Isistius brasiliensis"
"Parascyllium_variolatum",48.8089849832585,44.2818625993879,16.6967789153201,227.39,216,0,0,"Parascyllium variolatum"
"Ctenacis_fehlmanni",52.6564307073198,49.7968069426729,21.992500712908,228.15,163,3,0.03,"Ctenacis fehlmanni"
"Discopyge_castelloi",51.7411966768521,46.1857208700367,23.3531850277166,228.99,225.5,3,0.03,"Discopyge castelloi"
"Pristiophorus_delicatus",47.4878568167863,44.3663857891297,13.8702334839817,229.73,214.5,0,0,"Pristiophorus delicatus"
"Hydrolagus_colliei",49.3816439765255,48.161612123618,15.2650405229439,229.76,187.5,0,0,"Hydrolagus colliei"
"Discopyge_tschudii",51.7411966768521,46.1857208700367,23.3531850277166,229.99,226.5,3,0.03,"Discopyge tschudii"
"Squatina_aculeata",46.6660429435356,48.4410704116139,12.5385583513383,230.96,208,0,0,"Squatina aculeata"
"Chiloscyllium_punctatum",46.3898667651036,47.3599236348533,10.6533005996074,231.14,176,0,0,"Chiloscyllium punctatum"
"Isistius_labialis",48.5790003419033,47.0555484201114,16.3214915909439,231.51,230,0,0,"Isistius labialis"
"Heteroscymnoides_marleyi",49.9748747141201,46.0893722375752,19.6676742188294,232.31,237.5,3,0.03,"Heteroscymnoides marleyi"
"Dasyatis_margaritella",44.7083990660745,44.244015339831,3.1906577768161,233.27,264.5,0,0,"Dasyatis margaritella"
"Dasyatis_margarita",44.7083990660745,44.244015339831,3.1906577768161,234.27,265.5,0,0,"Dasyatis margarita"
"Gogolia_filewoodi",48.7461010685641,45.3031463773741,17.742947692404,235.1,227.5,1,0.01,"Gogolia filewoodi"
"Chimaera_phantasma",49.14775841086,44.9365542661952,15.7346916913078,236.42,202.5,0,0,"Chimaera phantasma"
"Somniosus_rostratus",45.566067783702,49.4803882879636,11.6151156698654,238.14,193,0,0,"Somniosus rostratus"
"Euprotomicroides_zantedeschia",48.9446256881395,44.6645780319613,19.1066338876971,242.06,232.5,2,0.02,"Euprotomicroides zantedeschia"
"Centrophorus_squamosus",52.1178725511949,59.2563504140346,21.1903211729541,242.44,123.5,0,0,"Centrophorus squamosus"
"Hydrolagus_barbouri",48.238752462541,44.5337189353045,15.5557773547526,244.08,213.5,0,0,"Hydrolagus barbouri"
"Himantura_lobistoma",47.0541738221076,50.8110131104367,10.6845216339134,244.49,181,0,0,"Himantura lobistoma"
"Atelomycterus_fasciatus",43.8673204366221,45.3034049021062,7.28407170963024,245.49,226.5,0,0,"Atelomycterus fasciatus"
"Atelomycterus_marnkalha",43.8607134647733,45.3034049021062,7.18950796262405,245.73,227,0,0,"Atelomycterus marnkalha"
"Mollisquama_parini",48.7554652320959,45.7960688625736,19.8145059641479,246.12,225.5,4,0.04,"Mollisquama parini"
"Pristiophorus_nancyae",45.6737707214635,44.9779074811932,12.3909849683839,246.3,245,0,0,"Pristiophorus nancyae"
"Cruriraja_hulleyi",52.5934754491322,48.8973510958314,24.3300286756123,247.26,186,7,0.07,"Cruriraja hulleyi"
"Gymnura_marmorata",49.7110250928223,44.07381181416,20.1686529254787,249.25,229,1,0.01,"Gymnura marmorata"
"Arhynchobatis_asperrimus",44.6494419896178,44.5013584299477,7.56518552894453,250.45,237.5,0,0,"Arhynchobatis asperrimus"
"Atelomycterus_macleayi",44.9602504314791,42.2501799596314,12.2766143366229,251.09,268,0,0,"Atelomycterus macleayi"
"Pteromylaeus_bovinus",44.1833032966012,43.307786493794,10.1427677589507,253.09,247,0,0,"Pteromylaeus bovinus"
"Pteromylaeus_asperrimus",44.1833032966012,43.307786493794,10.1427677589507,254.09,248,0,0,"Pteromylaeus asperrimus"
"Pristiophorus_schroederi",44.1966194065684,42.4311977097701,10.849685426288,259.05,246.5,0,0,"Pristiophorus schroederi"
"Centrophorus_granulosus",50.1555664486696,51.640767244791,21.3526637060208,264.1,189,0,0,"Centrophorus granulosus"
"Dasyatis_zugei",48.1667810411241,45.9932000103606,18.0704394323328,265.72,149,0,0,"Dasyatis zugei"
"Dasyatis_sabina",47.5484099668674,44.7800329730194,17.1883814755612,266.45,245.5,0,0,"Dasyatis sabina"
"Hydrolagus_melanophasma",44.8277726650329,44.8759207526723,12.4021049238434,271.17,227.5,0,0,"Hydrolagus melanophasma"
"Gymnura_crebripunctata",47.9363085627905,42.1056074222307,19.9119729050859,275.24,244.5,1,0.01,"Gymnura crebripunctata"
"Sinobatis_filicauda",47.215750644358,43.1039842680293,19.3064176650688,275.28,276,5,0.05,"Sinobatis filicauda"
"Gymnura_micrura",48.1132365606371,40.8174564875207,21.1035262940234,277.98,244.5,1,0.01,"Gymnura micrura"
"Centrophorus_moluccensis",52.442275349196,51.0236894984623,26.6952653725964,278.12,195,5,0.05,"Centrophorus moluccensis"
"Chiloscyllium_plagiosum",41.8965443975088,43.1742021651893,8.2722781816142,281.58,253,0,0,"Chiloscyllium plagiosum"
"Chiloscyllium_indicum",41.7380334613896,42.3901126945578,7.38081410562217,282.42,253,0,0,"Chiloscyllium indicum"
"Sinobatis_melanosoma",46.6914296175962,40.4998892068414,19.5791655629247,282.58,269,3,0.03,"Sinobatis melanosoma"
"Neotrygon_kuhlii",41.7565526131331,41.9695127598078,7.07132101081526,282.96,242,0,0,"Neotrygon kuhlii"
"Triakis_semifasciata",43.0574492239821,42.3414487888908,12.7732106746241,284.51,248.5,0,0,"Triakis semifasciata"
"Neotrygon_ningalooensis",44.7196762112116,48.260549581095,12.7126535966824,284.89,199.5,0,0,"Neotrygon ningalooensis"
"Sinobatis_borneensis",45.8834069954601,41.3619877563914,18.3919880577264,285.85,286.5,3,0.03,"Sinobatis borneensis"
"Rhinobatos_horkelii",46.5627948012501,43.4152123342181,19.8343271536611,287.17,276,0,0,"Rhinobatos horkelii"
"Triakis_scyllium",42.8583107328931,41.5397677661283,12.4601013638227,287.19,280,0,0,"Triakis scyllium"
"Rhinobatos_percellens",48.2533900636272,43.572887952671,22.3855404775818,287.5,258,0,0,"Rhinobatos percellens"
"Sphyrna_lewini",40.3208163520515,40.9862197695387,5.56252667473155,288.89,293.5,0,0,"Sphyrna lewini"
"Deania_quadrispinosa",43.4203789537171,48.5500289654495,13.8222230455353,290.61,214,0,0,"Deania quadrispinosa"
"Sinobatis_bulbicauda",44.9676141041555,41.9758681425946,17.3021676711911,291.18,264,2,0.02,"Sinobatis bulbicauda"
"Deania_profundorum",43.4203789537171,48.5500289654495,13.8222230455353,291.61,215,0,0,"Deania profundorum"
"Gymnura_natalensis",44.530087892121,41.4041147505067,15.4926354321854,292.4,252,0,0,"Gymnura natalensis"
"Trygonoptera_galba",42.3190362676819,40.353174677465,12.6660861737827,294.27,283.5,1,0.01,"Trygonoptera galba"
"Neotrygon_annotata",44.1674785607472,43.5446657166905,14.9266277506703,294.5,247.5,0,0,"Neotrygon annotata"
"Gymnura_altavela",45.8683705191754,40.7902298138671,18.9520139216475,295.08,272.5,2,0.02,"Gymnura altavela"
"Glaucostegus_cemiculus",43.1629227953249,41.0353675338093,14.6720260534352,295.26,283,0,0,"Glaucostegus cemiculus"
"Pastinachus_stellurostris",39.8294351060691,40.0748865814145,4.72299639994967,295.39,311,0,0,"Pastinachus stellurostris"
"Somniosus_longus",45.205368981541,42.4121697029849,22.2332922668375,296.04,303,3,0.03,"Somniosus longus"
"Pastinachus_solocirostris",39.8294351060691,40.0748865814145,4.72299639994967,296.39,312,0,0,"Pastinachus solocirostris"
"Zameus_squamulosus",41.4605123307789,41.873588025502,11.4716292975459,298.52,303,0,0,"Zameus squamulosus"
"Zameus_ichiharai",41.4605123307789,41.873588025502,11.4716292975459,299.52,304,0,0,"Zameus ichiharai"
"Sinobatis_caerulea",44.6749631534551,39.6119773960034,19.4030559209487,300.47,286,3,0.03,"Sinobatis caerulea"
"Scymnodon_ringens",41.389347424865,42.7026583206947,11.4159078198186,303.21,280,0,0,"Scymnodon ringens"
"Gymnura_hirundo",43.3733200915918,40.2106256554748,15.4709941071333,304.39,284.5,1,0.01,"Gymnura hirundo"
"Cruriraja_parcomaculata",47.5673112156228,41.5033986270413,23.3238371136444,306.08,287,5,0.05,"Cruriraja parcomaculata"
"Centrophorus_atromarginatus",46.8684814641521,51.5112791114251,19.8275850678326,306.36,172.5,0,0,"Centrophorus atromarginatus"
"Negaprion_acutidens",39.5114042787869,40.164244838105,6.9421469300967,307.14,297,0,0,"Negaprion acutidens"
"Negaprion_brevirostris",39.5114042787869,40.164244838105,6.9421469300967,308.14,298,0,0,"Negaprion brevirostris"
"Mustelus_punctulatus",43.4134632333961,38.6754123026146,15.5625049323267,309.75,253.5,0,0,"Mustelus punctulatus"
"Gymnura_crooki",42.2338296289328,38.9800167636529,14.681964941832,310.38,284,1,0.01,"Gymnura crooki"
"Rhinobatos_glaucostigma",42.6107828972698,43.0644086299109,15.013594711822,311.67,283.5,0,0,"Rhinobatos glaucostigma"
"Pastinachus_atrus",39.3885437785077,38.3631489059991,6.00010355986773,313.8,310.5,0,0,"Pastinachus atrus"
"Gymnura_bimaculata",42.900822046306,40.021492532433,15.8758227855338,316.52,270.5,1,0.01,"Gymnura bimaculata"
"Chimaera_fulva",41.29601919148,42.0183097116468,10.9202428313819,317.78,251,0,0,"Chimaera fulva"
"Gymnura_afuerae",41.5899094434807,39.6858539450186,13.2989498691964,319.92,280,0,0,"Gymnura afuerae"
"Cirrhigaleus_barbifer",42.6525000884649,47.9178403611316,14.8712293800187,320.44,210,0,0,"Cirrhigaleus barbifer"
"Cirrhigaleus_australis",42.6525000884649,47.9178403611316,14.8712293800187,321.44,211,0,0,"Cirrhigaleus australis"
"Rhinobatos_productus",41.7745616489266,40.7926914963573,14.626537250192,321.61,333.5,0,0,"Rhinobatos productus"
"Hongeo_koreana",41.9653567932949,44.2902133006012,14.7352616597738,323.87,225.5,0,0,"Hongeo koreana"
"Carcharhinus_signatus",41.51908501531,41.7020630976256,13.5940342788345,325.84,243,0,0,"Carcharhinus signatus"
"Centrophorus_zeehaani",45.0643881983549,47.4624190502009,19.3431233067974,326.2,231.5,0,0,"Centrophorus zeehaani"
"Aculeola_nigra",38.2178389005712,40.6202432646814,8.06922345698952,331.58,320.5,0,0,"Aculeola nigra"
"Poroderma_pantherinum",38.6825646044611,38.3245573512762,9.0384268797679,332.14,346.5,0,0,"Poroderma pantherinum"
"Chimaera_monstrosa",39.5607318240334,39.7517994776981,9.53913021720613,332.91,276,0,0,"Chimaera monstrosa"
"Poroderma_africanum",38.6825646044611,38.3245573512762,9.0384268797679,333.14,347.5,0,0,"Poroderma africanum"
"Cruriraja_poeyi",43.6236750256983,40.7955680809782,18.7741766815541,333.98,343.5,3,0.03,"Cruriraja poeyi"
"Cruriraja_rugosa",41.8719857218951,38.904406119807,14.8894935705162,338.8,278.5,1,0.01,"Cruriraja rugosa"
"Acroteriobatus_leucospilus",42.4685782109762,38.1987147411457,18.6305182013208,343.19,322.5,1,0.01,"Acroteriobatus leucospilus"
"Cruriraja_cadenati",42.8848866369977,38.6840122952815,19.0823177848743,343.71,323.5,2,0.02,"Cruriraja cadenati"
"Holohalaelurus_regani",41.0360742869991,36.304701986211,16.5409356151493,345.88,343,3,0.03,"Holohalaelurus regani"
"Atlantoraja_castelnaui",37.1708593110439,36.9254888295197,5.35039564997771,346.67,347,0,0,"Atlantoraja castelnaui"
"Cruriraja_durbanensis",43.7237525560309,37.1374125602235,20.540112514626,348.9,334,2,0.02,"Cruriraja durbanensis"
"Rhinobatos_prahli",42.8612084839367,38.4873684084094,20.2062833369333,348.93,322,2,0.02,"Rhinobatos prahli"
"Deania_hystricosa",39.5112872671431,43.9927914852351,12.6018861536295,349.64,269,0,0,"Deania hystricosa"
"Narcine_timlei",44.1917449050919,39.1983448911056,20.746580147465,349.81,332,3,0.03,"Narcine timlei"
"Gymnura_tentaculata",40.4257010378457,37.5425687347803,15.3405071141592,349.94,329,1,0.01,"Gymnura tentaculata"
"Trygonoptera_imitata",36.7309490076015,37.2562228590825,5.00764941411659,350.32,353,0,0,"Trygonoptera imitata"
"Deania_calcea",39.5112872671431,43.9927914852351,12.6018861536295,350.64,270,0,0,"Deania calcea"
"Trygonoptera_mucosa",36.697378671167,37.2562228590825,5.0713645659637,351.76,354,0,0,"Trygonoptera mucosa"
"Rioraja_agassizii",38.0827629778437,39.0898047982421,8.59387027459127,352.44,314,0,0,"Rioraja agassizii"
"Rhinobatos_planiceps",42.8502176360571,40.1137442647484,19.2791315434291,353.18,306,3,0.03,"Rhinobatos planiceps"
"Acroteriobatus_annulatus",42.0310694287633,37.46407437794,18.5988281867906,353.81,328,0,0,"Acroteriobatus annulatus"
"Squatina_armata",38.0719063738552,41.1206554998507,10.6595958037408,354.53,318.5,0,0,"Squatina armata"
"Rhinobatos_leucorhynchus",44.2476950021073,40.5411607168155,22.7808057094468,354.95,329.5,2,0.02,"Rhinobatos leucorhynchus"
"Myliobatis_californicus",39.3360838981636,37.6740773881425,12.7240237526089,355.38,280,0,0,"Myliobatis californicus"
"Holohalaelurus_melanostigma",40.721667837142,37.5275754000103,17.2198814947379,355.69,372,1,0.01,"Holohalaelurus melanostigma"
"Triakis_acutipinna",39.4481678803481,38.038913579422,14.4041295935853,355.81,349,0,0,"Triakis acutipinna"
"Rhinobatos_albomaculatus",40.7677328195413,36.5139886682378,16.8223210179472,358.37,366.5,1,0.01,"Rhinobatos albomaculatus"
"Holohalaelurus_punctatus",39.4612276295584,37.3768103806598,14.2898139113188,358.48,357,0,0,"Holohalaelurus punctatus"
"Irolita_waitii",37.6204053841911,35.2176227026622,9.56485942442327,359.04,348.5,0,0,"Irolita waitii"
"Acroteriobatus_zanzibarensis",42.4603227532654,38.4364557876868,21.9574292923401,359.43,340,2,0.02,"Acroteriobatus zanzibarensis"
"Squatina_australis",37.0987994495907,39.5536914978298,8.7191526095005,359.88,345,0,0,"Squatina australis"
"Apristurus_macrorhynchus",40.6405512101546,39.067365879793,14.9855433895931,359.89,292,0,0,"Apristurus macrorhynchus"
"Irolita_westraliensis",37.6204053841911,35.2176227026622,9.56485942442327,360.04,349.5,0,0,"Irolita westraliensis"
"Benthobatis_moresbyi",39.9355048713932,36.4430310013326,16.4898297453997,362.05,356.5,1,0.01,"Benthobatis moresbyi"
"Acroteriobatus_ocellatus",41.6822671100539,38.2886978338111,19.2509685697818,362.44,353.5,1,0.01,"Acroteriobatus ocellatus"
"Triakis_maculata",38.6740827032158,37.5138564860751,13.6008680314691,362.75,365,0,0,"Triakis maculata"
"Apristurus_exsanguis",40.6206640310907,39.0473441420979,15.477670476775,362.9,306,0,0,"Apristurus exsanguis"
"Cruriraja_andamanica",40.1988064847513,34.899148946037,15.8849944771108,363.26,328.5,1,0.01,"Cruriraja andamanica"
"Glaucostegus_microphthalmus",40.8332261892195,36.836182465805,18.7087836564937,364.42,358,3,0.03,"Glaucostegus microphthalmus"
"Somniosus_microcephalus",36.663435161515,39.389862428254,8.94782492007554,367,338.5,0,0,"Somniosus microcephalus"
"Myliobatis_goodei",41.4928898843592,33.7016179393852,18.9413873236453,367.77,355.5,0,0,"Myliobatis goodei"
"Diplobatis_colombiensis",38.7537423087921,35.4188532361048,13.3696184660093,369.02,367,1,0.01,"Diplobatis colombiensis"
"Scoliodon_macrorhynchos",35.4658186681303,35.915481882559,5.0361020650224,372.25,378.5,0,0,"Scoliodon macrorhynchos"
"Halaelurus_sellus",37.9826252292476,39.5301446441386,10.7631619538284,372.67,319.5,0,0,"Halaelurus sellus"
"Rhinobatos_sainsburyi",40.6559597640164,36.8743990553931,17.9025425686918,373.08,369,0,0,"Rhinobatos sainsburyi"
"Scoliodon_laticaudus",35.4658186681303,35.915481882559,5.0361020650224,373.25,379.5,0,0,"Scoliodon laticaudus"
"Diplobatis_guamachensis",38.784444874693,35.7437299899733,13.3804930537984,373.61,399,1,0.01,"Diplobatis guamachensis"
"Centrophorus_westraliensis",41.2195115183007,40.2969957487056,18.6101270366604,373.79,333.5,0,0,"Centrophorus westraliensis"
"Centrophorus_tessellatus",40.670615285597,40.7547439251123,17.285724821958,373.99,324.5,1,0.01,"Centrophorus tessellatus"
"Benthobatis_marcida",38.4656160835566,34.2209822970224,13.6841315411762,376.52,376,1,0.01,"Benthobatis marcida"
"Acroteriobatus_salalah",38.9989531584284,35.7192218240196,15.0115665673211,376.57,377,1,0.01,"Acroteriobatus salalah"
"Proscyllium_magnificum",38.5188257079303,36.9864991078624,13.9782659715399,377,354.5,0,0,"Proscyllium magnificum"
