"tip.label","mean_ED","median_ED","sd_ED","mean_rank","median_rank","top20_count","top20_frequency","species","length","trophic.level","max.depth","vertical.position","reproductive.guild","growth.ratio","shape.pc1","shape.pc2","top20_ED_100tree"
"Pristis_clavata",80.449351808269,86.2758594967058,19.7751609592831,46.33,35,0,0,"Pristis clavata",NA,NA,NA,NA,NA,NA,NA,NA,"Other species"
"Heptranchias_perlo",76.8424518562018,78.3994749923621,11.040447740271,47.05,47,0,0,"Heptranchias perlo",0.629888318358578,0.465251998599675,0.799308510732174,"bathydemersal","aplacental viviparous",0.413823421559699,-0.268675019873142,-0.986297446722103,"Other species"
"Platyrhina_sinensis",78.5926277742485,74.6145723633487,16.5990423634177,48.52,47.5,11,0.11,"Platyrhina sinensis",NA,NA,NA,NA,NA,NA,NA,NA,"Other species"
"Platyrhina_tangi",77.2299709258995,76.4972038647818,13.1045399482422,48.98,48.5,9,0.09,"Platyrhina tangi",NA,NA,NA,NA,NA,NA,NA,NA,"Other species"
"Platyrhina_hyugaensis",77.8922139990985,76.0437662712531,14.953658925373,49.63,50,12,0.12,"Platyrhina hyugaensis",NA,NA,NA,NA,NA,NA,NA,NA,"Other species"
"Zapteryx_brevirostris",79.4458754499125,73.7000660846432,22.4695476187976,53.69,44.5,27,0.27,"Zapteryx brevirostris",NA,NA,NA,NA,NA,NA,NA,NA,"Other species"
"Callorhinchus_callorynchus",72.3753182276553,72.3044752342551,2.62976307057283,57.43,62.5,10,0.1,"Callorhinchus callorynchus",NA,NA,NA,NA,NA,NA,NA,NA,"Other species"
"Pristis_zijsron",74.385231769029,79.991546565688,18.0789245170245,58.32,47,0,0,"Pristis zijsron",NA,NA,NA,NA,NA,NA,NA,NA,"Other species"
"Pristis_pectinata",74.385231769029,79.991546565688,18.0789245170245,59.32,48,0,0,"Pristis pectinata",NA,NA,NA,NA,NA,NA,NA,NA,"Other species"
"Callorhinchus_milii",70.9824183253953,70.4151837561174,2.51371698996345,62.19,67,4,0.04,"Callorhinchus milii",NA,NA,NA,NA,NA,NA,NA,NA,"Other species"
"Callorhinchus_capensis",70.9824183253953,70.4151837561174,2.51371698996345,63.19,68,2,0.02,"Callorhinchus capensis",NA,NA,NA,NA,NA,NA,NA,NA,"Other species"
"Taeniura_lymma",69.9811216491915,70.8179258407586,9.50321321001662,63.98,62.5,0,0,"Taeniura lymma",NA,NA,NA,NA,NA,NA,NA,NA,"Other species"
"Trygonorrhina_melaleuca",76.8604008564394,71.2277911720392,28.0300210250394,64.95,65,14,0.14,"Trygonorrhina melaleuca",NA,NA,NA,NA,NA,NA,NA,NA,"Other species"
"Carcharodon_carcharias",68.8346488501615,70.4437278665887,9.62871307538665,65.12,67,0,0,"Carcharodon carcharias",2.68941824068939,1.03559690478425,0.950184916683047,"pelagic-oceanic","aplacental viviparous",0.236971462549769,1.41700852201882,-0.923805885701418,"Other species"
"Trygonorrhina_dumerilii",73.6332664169169,70.603685485092,21.3150871087443,66.46,62.5,8,0.08,"Trygonorrhina dumerilii",NA,NA,NA,NA,NA,NA,NA,NA,"Other species"
"Trygonorrhina_fasciata",74.9145638340903,70.318637126582,23.1089808482551,66.66,61,12,0.12,"Trygonorrhina fasciata",NA,NA,NA,NA,NA,NA,NA,NA,"Other species"
"Echinorhinus_brucus",74.1140267863952,70.5973242126675,22.1809849855767,70.05,65.5,17,0.17,"Echinorhinus brucus",1.71401849580675,1.08851415849481,0.71211961101502,"bathydemersal","aplacental viviparous",0.868690588201734,-1.20710126829846,0.143628186176265,"Other species"
"Echinorhinus_cookei",74.1140267863952,70.5973242126675,22.1809849855767,71.05,66.5,17,0.17,"Echinorhinus cookei",2.05699442173765,0.794508282980936,0.878180464396212,"benthopelagic","aplacental viviparous",1.74260460765054,-0.988026390672254,-0.492850231669656,"Other species"
