"Rank_rho001","species_tree","species","EvoHeritage_rho001","Ancestral_EvoHeritage"
76,"Hexanchus_vitulus","Hexanchus vitulus",51.0508232258051,102.372957559028
77,"Isurus_oxyrinchus","Isurus oxyrinchus",51.0369345197746,94.8016546734119
78,"Furgaleus_macki","Furgaleus macki",51.0143406215747,97.2058612630475
79,"Aetomylaeus_maculatus","Aetomylaeus maculatus",50.796834621064,94.905090304708
80,"Galeus_eastmani","Galeus eastmani",50.3124752172336,101.75000375909
81,"Trygonoptera_ovalis","Trygonoptera ovalis",50.2076984118931,96.0930682891947
82,"Galeus_sauteri","Galeus sauteri",50.1304545166092,101.320302122582
83,"Orectolobus_ornatus","Orectolobus ornatus",50.0791810639258,95.6515012500766
84,"Chiloscyllium_punctatum","Chiloscyllium punctatum",49.9873070911061,106.987148562
85,"Gogolia_filewoodi","Gogolia filewoodi",49.7809031921789,100.463474547752
86,"Trygonoptera_personata","Trygonoptera personata",49.6139445831791,103.939873702009
87,"Iago_garricki","Iago garricki",49.4977841557678,101.619145199746
88,"Sinobatis_borneensis","Sinobatis borneensis",49.4668971824555,93.4081859304257
89,"Okamejei_jensenae","Okamejei jensenae",49.3698897625602,101.557324928978
90,"Iago_omanensis","Iago omanensis",49.2671622047499,101.783862200653
91,"Dasyatis_zugei","Dasyatis zugei",49.2191336384648,98.1255131745644
92,"Trygonoptera_galba","Trygonoptera galba",48.5279647823492,94.6571018427936
93,"Diplobatis_guamachensis","Diplobatis guamachensis",48.5020544654116,91.9074994730033
94,"Urolophus_gigas","Urolophus gigas",48.4751864089609,93.7946992891976
95,"Gymnura_micrura","Gymnura micrura",48.3284671111193,110.111268138289
96,"Megachasma_pelagios","Megachasma pelagios",48.2688099213315,98.3051668479326
97,"Centrophorus_squamosus","Centrophorus squamosus",47.9658546455369,103.445970013685
98,"Apristurus_exsanguis","Apristurus exsanguis",47.7067130685899,104.476961287806
99,"Acroteriobatus_leucospilus","Acroteriobatus leucospilus",47.6099431641286,102.907741852831
100,"Schroederichthys_tenuis","Schroederichthys tenuis",47.4563933124444,98.3528666847298
101,"Rhinochimaera_pacifica","Rhinochimaera pacifica",47.1513691214563,100.383620055525
102,"Triakis_semifasciata","Triakis semifasciata",46.7707355701981,96.895164118548
103,"Neotrygon_ningalooensis","Neotrygon ningalooensis",46.7574904920232,94.318015228773
104,"Eusphyra_blochii","Eusphyra blochii",46.5784641142014,96.4287006234198
105,"Makararaja_chindwinensis","Makararaja chindwinensis",46.384342714494,102.368453368845
106,"Squatina_japonica","Squatina japonica",46.1467188534058,95.484628622656
107,"Gymnura_hirundo","Gymnura hirundo",46.042179045958,100.859377362565
108,"Loxodon_macrorhinus","Loxodon macrorhinus",45.904326167051,100.314318586141
109,"Benthobatis_marcida","Benthobatis marcida",45.8656291315497,100.460386102339
110,"Gymnura_afuerae","Gymnura afuerae",45.1857966297708,103.035388396528
111,"Chiloscyllium_plagiosum","Chiloscyllium plagiosum",45.1756099866026,102.91570882542
112,"Chaenogaleus_macrostoma","Chaenogaleus macrostoma",45.0079619240603,104.348227279958
113,"Orectolobus_parvimaculatus","Orectolobus parvimaculatus",44.9282860640268,96.8023368180417
114,"Centroscymnus_coelolepis","Centroscymnus coelolepis",44.8382016118656,102.132417220443
115,"Chiloscyllium_indicum","Chiloscyllium indicum",44.748628856284,110.202196305192
116,"Hemitriakis_indroyonoi","Hemitriakis indroyonoi",44.7347620745115,101.61042767761
117,"Bythaelurus_canescens","Bythaelurus canescens",44.6758092420401,103.960488485389
118,"Atelomycterus_baliensis","Atelomycterus baliensis",44.6160298342997,99.4486747722514
119,"Gollum_suluensis","Gollum suluensis",44.6112747487115,98.591135323066
120,"Zapteryx_exasperata","Zapteryx exasperata",44.6047341565966,101.545873083519
121,"Schroederichthys_bivius","Schroederichthys bivius",44.5876369197778,95.597396539207
122,"Aetomylaeus_nichofii","Aetomylaeus nichofii",44.2939800038214,99.9578285848737
123,"Myliobatis_californicus","Myliobatis californicus",44.2684091245722,105.474055624649
124,"Orectolobus_hutchinsi","Orectolobus hutchinsi",43.8163877332188,100.769369940244
125,"Gymnura_poecilura","Gymnura poecilura",43.6617609359001,100.620314512726
126,"Chimaera_obscura","Chimaera obscura",43.5505611055587,99.3031018992697
127,"Dasyatis_marmorata","Dasyatis marmorata",43.5011842603986,101.037105119973
128,"Gollum_attenuatus","Gollum attenuatus",43.4838922509611,99.9916761527332
129,"Chlamydoselachus_anguineus","Chlamydoselachus anguineus",43.3668203188201,98.3568436160455
130,"Chlamydoselachus_africana","Chlamydoselachus africana",43.3668203188201,98.3568436160455
131,"Narcine_leoparda","Narcine leoparda",43.0441591336258,94.0911544991913
132,"Zapteryx_xyster","Zapteryx xyster",43.0395904563014,100.85166430011
133,"Himantura_lobistoma","Himantura lobistoma",43.0305665210774,100.876046400189
134,"Atelomycterus_marmoratus","Atelomycterus marmoratus",42.917666037916,96.5615013805022
135,"Trygonoptera_testacea","Trygonoptera testacea",42.888818968733,97.9642525528801
136,"Rostroraja_alba","Rostroraja alba",42.8285339883342,101.036449140643
137,"Sphyrna_mokarran","Sphyrna mokarran",42.8202329881998,98.0459978510538
138,"Urobatis_marmoratus","Urobatis marmoratus",42.5512316421779,93.6475940799607
139,"Hemigaleus_microstoma","Hemigaleus microstoma",42.4553043201588,100.324479809439
140,"Himantura_schmardae","Himantura schmardae",42.3746006157928,103.787808808392
141,"Narcine_tasmaniensis","Narcine tasmaniensis",42.0847771552795,102.84740669423
142,"Chimaera_bahamaensis","Chimaera bahamaensis",41.9941064811683,98.3853170727134
143,"Taeniurops_grabata","Taeniurops grabata",41.9554032945565,96.2876455901197
144,"Scymnodalatias_oligodon","Scymnodalatias oligodon",41.893625924193,102.828273449057
145,"Taeniurops_meyeni","Taeniurops meyeni",41.8733774616978,96.4973113562685
146,"Etmopterus_schmidti","Etmopterus schmidti",41.7670488607598,101.523442351838
