"species","Rank_ED","ED","Rank_min0","EvoHeritage_min0","Rank_min66","EvoHeritage_min66","Rank_min145","EvoHeritage_min145","change_min0_vs_ED","change_min66_vs_ED","change_min145_vs_ED","scientificname","valid_name","class","order","family","genus","major_group"
"Chimaera phantasma",69,71.5656219418699,52,56.7145471330448,86,11.4505044203566,118,1.74976485669941,-17,17,49,"Chimaera phantasma","Chimaera phantasma","Holocephali","Chimaeriformes","Chimaeridae","Chimaera","chimaera"
"Rhinochimaera pacifica",111,57.744255677646,80,50.3983336052611,82,11.5996742951225,35,3.61273493717252,-31,-29,-76,"Rhinochimaera pacifica","Rhinochimaera pacifica","Holocephali","Chimaeriformes","Rhinochimaeridae","Rhinochimaera","chimaera"
"Neoharriotta pinnata",84,64.4677129283126,90,49.1787335269225,61,13.8269933045139,39,3.51310302138362,6,-23,-45,"Neoharriotta pinnata","Neoharriotta pinnata","Holocephali","Chimaeriformes","Rhinochimaeridae","Neoharriotta","chimaera"
"Chimaera obscura",140,53.294145460255,131,43.625758512593,154,7.89815503392736,84,2.12354097022629,-9,14,-56,"Chimaera obscura","Chimaera obscura","Holocephali","Chimaeriformes","Chimaeridae","Chimaera","chimaera"
"Hydrolagus alphus",144,52.5287613132852,151,41.8134801722872,307,5.0592208665398,196,1.32179341671168,7,163,52,"Hydrolagus alphus","Hydrolagus alphus","Holocephali","Chimaeriformes","Chimaeridae","Hydrolagus","chimaera"
"Chimaera bahamaensis",141,53.0294816647853,153,41.7024130734909,241,6.02507648950267,179,1.38611162426358,12,100,38,"Chimaera bahamaensis","Chimaera bahamaensis","Holocephali","Chimaeriformes","Chimaeridae","Chimaera","chimaera"
"Hydrolagus alberti",143,52.5287613132852,156,41.5339494276713,282,5.43666926243784,157,1.52855441658311,13,139,14,"Hydrolagus alberti","Hydrolagus alberti","Holocephali","Chimaeriformes","Chimaeridae","Hydrolagus","chimaera"
"Callorhinchus callorynchus",61,73.2875858724286,166,40.9305419778633,36,17.3565608696914,8,6.88498867293541,105,-25,-53,"Callorhinchus callorynchus","Callorhinchus callorynchus","Holocephali","Chimaeriformes","Callorhinchidae","Callorhinchus","chimaera"
"Chimaera jordani",159,50.3112925911186,171,40.7877404335068,292,5.29312672963918,169,1.44151127735983,12,133,10,"Chimaera jordani","Chimaera jordani","Holocephali","Chimaeriformes","Chimaeridae","Chimaera","chimaera"
"Hydrolagus deani",150,51.457969215255,172,40.6813517511165,151,7.92468724783556,63,2.52417099447963,22,1,-87,"Hydrolagus deani","Hydrolagus deani","Holocephali","Chimaeriformes","Chimaeridae","Hydrolagus","chimaera"
"Chimaera cubana",160,50.3112925911186,183,39.5393975977017,268,5.6709305788876,206,1.28838971214657,23,108,46,"Chimaera cubana","Chimaera cubana","Holocephali","Chimaeriformes","Chimaeridae","Chimaera","chimaera"
"Neoharriotta carri",122,55.4099624073126,192,38.9447944829705,53,14.5166153916602,34,3.63084682226389,70,-69,-88,"Neoharriotta carri","Neoharriotta carri","Holocephali","Chimaeriformes","Rhinochimaeridae","Neoharriotta","chimaera"
