"tip.label","mean_ED","median_ED","sd_ED","mean_rank","top20_count","top20_frequency","mean_EH_66","median_EH_66","sd_EH_66","mean_rank_66","median_rank_66","top20_count_66","top20_frequency_66","mean_EH_145","median_EH_145","sd_EH_145","mean_rank_145","median_rank_145","top20_count_145","top20_frequency_145","species","rank_change_66_vs_ED","rank_change_145_vs_ED","rank_change_145_vs_66"
"Alopias_superciliosus",99.9229754464612,106.247182959075,21.2890750481972,17.4,77,0.77,19.2931544898372,21.8245196794927,8.14792226619456,35.41,20,56,0.56,2.76382048560382,2.75692465711089,1.50813974945821,86.42,64,3,0.03,"Alopias superciliosus",18.01,69.02,51.01
"Cetorhinus_maximus",95.3954978354848,98.8145727814342,16.1598985604033,19.89,59,0.59,17.7096699108708,19.8272222746497,7.36861065112649,40.83,26,14,0.14,2.77196545639465,2.75849899700283,1.53697318639042,85.7,64,3,0.03,"Cetorhinus maximus",20.94,65.81,44.87
"Rhina_ancylostoma",98.9138309904424,106.55589099403,23.3149395373682,19.91,75,0.75,21.5870280512691,24.5860188424831,9.71359825789436,33.3,13,74,0.74,2.7930272469773,2.4977192288794,1.8210287187222,92.14,68,5,0.05,"Rhina ancylostoma",13.39,72.23,58.84
"Chlamydoselachus_anguineus",95.1261754065078,91.2888706830084,16.3156448554668,22.26,49,0.49,23.7579999357833,23.2218680677007,4.73547002270245,14.7,13,73,0.73,7.04730334875216,6.61486987820722,2.40189963665515,8.54,7,95,0.95,"Chlamydoselachus anguineus",-7.56,-13.72,-6.16
"Chlamydoselachus_africana",95.1261754065078,91.2888706830084,16.3156448554668,23.26,48,0.48,23.5797860333205,22.412382630858,4.56245696459071,14.99,14,72,0.72,6.76886761933947,6.55991454522299,2.17729749998843,9.84,8,91,0.91,"Chlamydoselachus africana",-8.27,-13.42,-5.15
"Brachaelurus_colcloughi",91.9660232958534,97.3689277192497,16.9502424577073,24.38,28,0.28,21.972091746022,23.6732809842129,5.58118014185359,17.31,16,67,0.67,4.36055325456183,4.51630023433249,2.14418824805131,32.47,26.5,36,0.36,"Brachaelurus colcloughi",-7.07,8.09,15.16
"Pliotrema_warreni",92.5401266121353,97.2848405160258,18.2176021546398,24.8,32,0.32,18.601953813949,20.1955650462296,7.29802213417351,35.99,26,35,0.35,3.60512124038734,3.45814096162331,2.01303485608569,51.04,41.5,17,0.17,"Pliotrema warreni",11.19,26.24,15.05
"Hemipristis_elongata",91.6550978372017,95.1657169689904,16.1222615103009,25.07,12,0.12,12.0954292307889,14.1040568322305,6.91235807168071,223.96,61.5,0,0,0.346065630677889,0.340954338429089,0.163311862817072,685.31,648.5,0,0,"Hemipristis elongata",198.89,660.24,461.35
"Brachaelurus_waddi",91.9660232958534,97.3689277192497,16.9502424577073,25.38,22,0.22,22.3990215293392,23.6587242693417,5.67571228081373,16.12,15,74,0.74,4.39970206131317,4.45329150654723,2.10708361096454,31.41,24,35,0.35,"Brachaelurus waddi",-9.26,6.03,15.29
"Trigonognathus_kabeyai",91.1287915284328,94.9785521144084,18.8298191415231,26.81,24,0.24,13.8241669006957,15.7949478094661,7.95747564628248,155.66,50.5,6,0.06,1.00098029347991,0.94762439491957,0.587706152737378,285.87,285.5,0,0,"Trigonognathus kabeyai",128.85,259.06,130.21
"Pristis_pristis",92.631614995559,98.8729949333725,23.1791082333288,28.02,50,0.5,18.6790388679001,21.9687830117483,8.88029738292204,51.36,23,38,0.38,2.37461924817032,2.19814203333032,1.45016884427392,107.38,81,0,0,"Pristis pristis",23.34,79.36,56.02
