"species","Rank","species_tree.x","ED_github","Rank_rho001","species_tree.y","EvoHeritage_rho001","Ancestral_EvoHeritage","rank_change"
"Apristurus gibbosus",456,"Apristurus_gibbosus",33.2053077463012,395,"Apristurus_gibbosus",29.9773893313944,99.0137756716673,-61
"Apristurus herklotsi",578,"Apristurus_herklotsi",29.4258290284196,539,"Apristurus_herklotsi",26.1834000926495,102.726474169856,-39
"Apristurus indicus",1013,"Apristurus_indicus",16.156485841007,1002,"Apristurus_indicus",14.347597217487,101.739806477778,-11
"Apristurus internatus",354,"Apristurus_internatus",38.1003749055862,291,"Apristurus_internatus",34.3275617140258,104.204645062426,-63
"Apristurus investigatoris",247,"Apristurus_investigatoris",44.5527780326345,212,"Apristurus_investigatoris",38.2618210522932,94.1453939281179,-35
"Apristurus japonicus",388,"Apristurus_japonicus",36.5144406350148,328,"Apristurus_japonicus",32.6505259989458,104.551481645719,-60
"Apristurus kampae",883,"Apristurus_kampae",19.643371686507,850,"Apristurus_kampae",18.1441416394203,104.603002832727,-33
"Apristurus laurussonii",515,"Apristurus_laurussonii",31.1255909458481,494,"Apristurus_laurussonii",27.3905184196614,103.879047325295,-21
"Apristurus longicephalus",470,"Apristurus_longicephalus",32.8049364533012,461,"Apristurus_longicephalus",28.0820974846441,100.705005796769,-9
"Apristurus macrorhynchus",387,"Apristurus_macrorhynchus",36.5216387600862,307,"Apristurus_macrorhynchus",33.658931432082,101.747960215439,-80
"Apristurus macrostomus",849,"Apristurus_macrostomus",20.5852785565153,832,"Apristurus_macrostomus",18.5834317670584,97.6909963901286,-17
"Apristurus manis",1058,"Apristurus_manis",14.715066344107,1066,"Apristurus_manis",12.9077118159564,99.802878418447,8
"Apristurus melanoasper",828,"Apristurus_melanoasper",21.2205697841815,837,"Apristurus_melanoasper",18.5218657278805,102.779607453102,9
"Apristurus microps",1059,"Apristurus_microps",14.715066344107,1059,"Apristurus_microps",13.0557666129578,100.439125348035,0
"Apristurus micropterygeus",579,"Apristurus_micropterygeus",29.4258290284196,570,"Apristurus_micropterygeus",25.512347670829,103.378200119193,-9
"Apristurus nasutus",469,"Apristurus_nasutus",32.8049374533012,406,"Apristurus_nasutus",29.5925160773755,102.973985300648,-63
"Apristurus parvipinnis",957,"Apristurus_parvipinnis",17.6372722441737,953,"Apristurus_parvipinnis",15.7564687400201,102.428732432228,-4
"Apristurus pinguis",636,"Apristurus_pinguis",27.2900424645759,618,"Apristurus_pinguis",24.1076159661342,95.677196289654,-18
"Apristurus platyrhynchus",829,"Apristurus_platyrhynchus",21.1238575347815,814,"Apristurus_platyrhynchus",19.1165650960029,101.084605821758,-15
"Apristurus profundorum",637,"Apristurus_profundorum",27.2900424645759,599,"Apristurus_profundorum",24.6813422653845,98.5710093084853,-38
"Apristurus riveri",492,"Apristurus_riveri",31.8518284046345,459,"Apristurus_riveri",28.1332250857324,96.3075208610826,-33
"Apristurus saldanha",40,"Apristurus_saldanha",82.9052859213335,48,"Apristurus_saldanha",58.2771313229687,102.737474655454,8
"Apristurus sibogae",615,"Apristurus_sibogae",28.1010479873481,580,"Apristurus_sibogae",25.1473371127592,102.580073183006,-35
"Apristurus sinensis",830,"Apristurus_sinensis",21.1238575347815,833,"Apristurus_sinensis",18.5588482361129,101.372703393109,3
"Apristurus spongiceps",516,"Apristurus_spongiceps",30.9887851274196,520,"Apristurus_spongiceps",26.8016613571332,102.613548686936,4
"Apristurus stenseni",491,"Apristurus_stenseni",31.8518284046345,435,"Apristurus_stenseni",28.7809192818876,97.8070314547734,-56
"Aptychotrema rostrata",100,"Aptychotrema_rostrata",60.2571069563372,207,"Aptychotrema_rostrata",38.4599647292591,101.537658407327,107
"Aptychotrema timorensis",99,"Aptychotrema_timorensis",60.2571069563372,197,"Aptychotrema_timorensis",38.8705368392509,102.221032732914,98
"Aptychotrema vincentiana",55,"Aptychotrema_vincentiana",74.4174995403372,42,"Aptychotrema_vincentiana",59.9146124807202,108.337987939394,-13
