"Rank_EH","species_tree","species","EvoHeritage","Ancestral_EvoHeritage","rho","min_age","max_age","lambda","repeats"
257,"Squaliolus_aliae","Squaliolus aliae",1.12542170363333,27.2205969202164,0.01,145,4025,1,100
258,"Squatina_californica","Squatina californica",1.1213686457569,21.1522578448978,0.01,145,4025,1,100
259,"Squatina_dumeril","Squatina dumeril",1.11306096120916,20.5238639868149,0.01,145,4025,1,100
260,"Glaucostegus_spinosus","Glaucostegus spinosus",1.10811772471592,21.4571599587316,0.01,145,4025,1,100
261,"Heteroscymnoides_marleyi","Heteroscymnoides marleyi",1.10399007222033,26.0797118704817,0.01,145,4025,1,100
262,"Squatina_nebulosa","Squatina nebulosa",1.09405730590369,23.836710227526,0.01,145,4025,1,100
263,"Squatina_squatina","Squatina squatina",1.07380517376689,19.9701710688792,0.01,145,4025,1,100
264,"Narcine_bicolor","Narcine bicolor",1.0652808235222,26.7716069778923,0.01,145,4025,1,100
265,"Chimaera_monstrosa","Chimaera monstrosa",1.05936954670051,22.226734686782,0.01,145,4025,1,100
266,"Hydrolagus_novaezealandiae","Hydrolagus novaezealandiae",1.04214662531721,21.6275820541316,0.01,145,4025,1,100
267,"Rhinobatos_schlegelii","Rhinobatos schlegelii",1.04129013207371,23.1040746227173,0.01,145,4025,1,100
268,"Rhinobatos_punctifer","Rhinobatos punctifer",1.03576498120216,21.4102348009687,0.01,145,4025,1,100
269,"Chimaera_macrospina","Chimaera macrospina",1.03121063776386,21.3819674186826,0.01,145,4025,1,100
270,"Centroscymnus_coelolepis","Centroscymnus coelolepis",1.01854269715264,23.389734971854,0.01,145,4025,1,100
271,"Oxynotus_caribbaeus","Oxynotus caribbaeus",1.00953998978615,27.6024267491528,0.01,145,4025,1,100
272,"Squatina_legnota","Squatina legnota",1.00809062483831,20.7132476453886,0.01,145,4025,1,100
273,"Rhinobatos_formosensis","Rhinobatos formosensis",1.00493295646296,22.3153796909399,0.01,145,4025,1,100
