"tip.label","partitioned.EvoHeritage","lf.rank"
"Gymnura_poecilura",53.3697147566648,138
"Gymnura_hirundo",53.3697147566648,139
"Chimaera_obscura",53.294145460255,140
"Chimaera_bahamaensis",53.0294816647853,141
"Sphyrna_mokarran",52.7400314584583,142
"Hydrolagus_alberti",52.5287613132852,143
"Hydrolagus_alphus",52.5287613132852,144
"Himantura_lobistoma",52.516030040883,145
"Heterodontus_japonicus",52.1978295679493,146
"Heterodontus_omanensis",52.1978295679493,147
"Benthobatis_marcida",51.8967398842274,148
"Etmopterus_schmidti",51.8754834779438,149
"Hydrolagus_deani",51.457969215255,150
"Schroederichthys_maculatus",51.3104668343045,151
"Hemitriakis_indroyonoi",51.1778804557795,152
"Hongeo_koreana",51.1105613489492,153
"Schroederichthys_saurisqualus",50.8726572528545,154
"Schroederichthys_chilensis",50.8726572528545,155
"Trygonoptera_testacea",50.435957942604,156
"Taeniurops_grabata",50.4147811225933,157
"Taeniurops_meyeni",50.4147811225933,158
"Chimaera_jordani",50.3112925911186,159
"Chimaera_cubana",50.3112925911186,160
"Squatina_squatina",50.1967858181366,161
"Squatina_caillieti",50.1967858181366,162
"Narcine_leoparda",50.170404728758,163
"Parascyllium_sparsimaculatum",50.0366495727496,164
"Aetomylaeus_nichofii",49.9572173081752,165
"Myliobatis_californicus",49.9146797962906,166
"Narcine_lasti",49.7958661242274,167
"Narcine_tasmaniensis",49.7958661242274,168
"Gymnura_japonica",49.5906716316648,169
"Gymnura_australis",49.5906716316648,170
"Scymnodalatias_garricki",49.5757120810744,171
"Scymnodalatias_oligodon",49.5757120810744,172
"Sphyrna_zygaena",49.3956640752917,173
"Bythaelurus_canescens",49.2501867434817,174
"Deania_quadrispinosa",49.16639462598,175
"Deania_profundorum",49.16639462598,176
"Somniosus_rostratus",49.1125545417366,177
"Somniosus_longus",49.1125545417366,178
"Rhinochimaera_africana",48.995294337646,179
"Rhinochimaera_atlantica",48.995294337646,180
"Cirrhigaleus_barbifer",48.9708794627141,181
"Cirrhigaleus_australis",48.9708794627141,182
"Aulohalaelurus_labiosus",48.9269401454473,183
"Aulohalaelurus_kanakorum",48.9269401454473,184
"Urobatis_marmoratus",48.5713985483206,185
"Rhinobatos_lionotus",48.5220197345774,186
"Odontaspis_noronhai",48.4992919782776,187
"Odontaspis_ferox",48.4992919782776,188
"Hemigaleus_microstoma",48.496187900231,189
"Hemigaleus_australiensis",48.496187900231,190
"Dipturus_kwangtungensis",48.3327699332954,191
"Proscyllium_habereri",48.2744146970686,192
"Gymnura_crooki",48.1116153616648,193
