"major_group","n_species","group_mean_ED","group_median_ED","group_mean_EH66","group_median_EH66","group_mean_EH145","group_median_EH145"
"chimaera",49,41.2229900358723,35.9432045930205,6.55781238373341,4.6512257470117,2.04146146982093,1.43241479181504
"ray",600,29.9103289879894,26.3085806013482,3.38178067398193,2.00265471477933,0.579655862499935,0.287167111153365
"shark",500,34.8780429132121,28.8477705797087,4.60621206626774,2.88193500025346,0.941277762529384,0.570716099971647
