"major_group","n_species","mean_ED","median_ED","mean_EH_min0","median_EH_min0","mean_EH_min66","median_EH_min66","mean_EH_min145","median_EH_min145"
"chimaera",49,43.6891523818755,40.7729841589186,32.7300887753329,32.702139469583,7.1232355494352,6.02507648950267,2.0759765808477,1.61179865634744
"ray",600,29.7840396209721,24.615792138659,24.8282770722761,21.4192263610285,3.32739275420623,1.97996437436992,0.562996939252383,0.29348187312394
"shark",500,37.2817573667541,32.3519826498933,30.1020218059501,27.4437225879024,5.06482339721029,3.43151690521348,0.975752550861106,0.597864234021596
