"trait","W","p_value","n_top20","n_other","p_adjusted_BH"
"length",1378.5,0.000734866283779906,13,470,0.00440919770267944
"trophic.level",2512,0.274378977737433,13,470,0.41156846660615
"max.depth",2736,0.521110760701057,13,470,0.625332912841268
"growth.ratio",2496.5,0.260995649775464,13,470,0.41156846660615
"shape.pc1",3116,0.90300066364976,13,470,0.90300066364976
"shape.pc2",3967,0.0663380675134042,13,470,0.199014202540213
