"tip.label","mean_ED","median_ED","sd_ED","mean_rank","median_rank","top20_count","top20_frequency"
"Zanobatus_schoenleinii",188.530753024009,189.134158176953,21.2235358917863,1.2,1,100,1
"Hypnos_monopterygius",162.641586025615,159.176651212908,29.3790286665828,2.72,2,100,1
"Hexatrygon_bickelli",137.627250802167,137.487954337562,14.8071687048578,3.73,3,100,1
"Platyrhinoidis_triseriata",135.708988663987,135.087951684551,16.0577715738223,4.19,4,100,1
"Mitsukurina_owstoni",129.411746375605,135.464094040999,24.5190164659539,4.99,4,100,1
"Plesiobatis_daviesi",117.820879981398,118.09918753752,13.205584932093,7.79,8,100,1
"Anoxypristis_cuspidata",116.972731763834,125.545741149437,27.8106630049424,9.27,7,95,0.95
"Carcharias_taurus",103.39903460905,107.559875999308,18.4367445795098,12.48,12,100,1
"Notorynchus_cepedianus",103.410724485802,104.87653855816,14.8533261063967,12.95,12.5,95,0.95
"Leptocharias_smithii",103.912931441747,105.504111744875,23.673148706605,16.15,13,68,0.68
"Alopias_superciliosus",99.9229754464612,106.247182959075,21.2890750481972,17.4,14,77,0.77
"Cetorhinus_maximus",95.3954978354848,98.8145727814342,16.1598985604033,19.89,20,59,0.59
"Rhina_ancylostoma",98.9138309904424,106.55589099403,23.3149395373682,19.91,14,75,0.75
"Chlamydoselachus_anguineus",95.1261754065078,91.2888706830084,16.3156448554668,22.26,21,49,0.49
"Chlamydoselachus_africana",95.1261754065078,91.2888706830084,16.3156448554668,23.26,22,48,0.48
"Brachaelurus_colcloughi",91.9660232958534,97.3689277192497,16.9502424577073,24.38,23,28,0.28
"Pliotrema_warreni",92.5401266121353,97.2848405160258,18.2176021546398,24.8,23,32,0.32
"Hemipristis_elongata",91.6550978372017,95.1657169689904,16.1222615103009,25.07,25,12,0.12
"Brachaelurus_waddi",91.9660232958534,97.3689277192497,16.9502424577073,25.38,24,22,0.22
"Trigonognathus_kabeyai",91.1287915284328,94.9785521144084,18.8298191415231,26.81,28,24,0.24
