"Rank_EH","species_tree","species","EvoHeritage","Ancestral_EvoHeritage","rho","min_age","max_age","lambda","repeats"
1,"Zanobatus_schoenleinii","Zanobatus schoenleinii",88.3373492053707,103.24231043412,0.01,0,4025,1,100
2,"Platyrhinoidis_triseriata","Platyrhinoidis triseriata",86.0882753775993,97.773045106145,0.01,0,4025,1,100
3,"Mitsukurina_owstoni","Mitsukurina owstoni",81.9381804783703,103.605578420608,0.01,0,4025,1,100
4,"Hypnos_monopterygius","Hypnos monopterygius",79.8975849930137,99.5817215697599,0.01,0,4025,1,100
5,"Hexatrygon_bickelli","Hexatrygon bickelli",77.4443167802238,104.87103628118,0.01,0,4025,1,100
6,"Brachaelurus_waddi","Brachaelurus waddi",75.968119208115,101.751944859515,0.01,0,4025,1,100
7,"Anoxypristis_cuspidata","Anoxypristis cuspidata",75.9666816654408,100.729082494104,0.01,0,4025,1,100
8,"Heterodontus_francisci","Heterodontus francisci",75.853956391848,96.8981380566094,0.01,0,4025,1,100
9,"Zapteryx_brevirostris","Zapteryx brevirostris",74.7214437790442,102.366310567079,0.01,0,4025,1,100
10,"Brachaelurus_colcloughi","Brachaelurus colcloughi",74.2770806728851,101.24088651098,0.01,0,4025,1,100
11,"Heterodontus_mexicanus","Heterodontus mexicanus",74.1771658850687,105.143505811839,0.01,0,4025,1,100
12,"Notorynchus_cepedianus","Notorynchus cepedianus",73.8148252004901,104.492529111133,0.01,0,4025,1,100
13,"Rhina_ancylostoma","Rhina ancylostoma",73.2420497988189,98.0726703326033,0.01,0,4025,1,100
14,"Carcharias_taurus","Carcharias taurus",73.1204018461554,105.629690878244,0.01,0,4025,1,100
15,"Pseudoginglymostoma_brevicaudatum","Pseudoginglymostoma brevicaudatum",72.7168712536865,101.710784507913,0.01,0,4025,1,100
16,"Plesiobatis_daviesi","Plesiobatis daviesi",71.5302715745735,100.326377300016,0.01,0,4025,1,100
17,"Pristis_pristis","Pristis pristis",71.4723132147287,104.255403949922,0.01,0,4025,1,100
18,"Alopias_superciliosus","Alopias superciliosus",71.1998245757383,97.5570383158255,0.01,0,4025,1,100
19,"Dalatias_licha","Dalatias licha",70.6463589467758,100.614934651865,0.01,0,4025,1,100
20,"Cetorhinus_maximus","Cetorhinus maximus",69.6695893493582,102.558195426417,0.01,0,4025,1,100
21,"Trygonorrhina_melaleuca","Trygonorrhina melaleuca",68.3623113979055,95.3553782833914,0.01,0,4025,1,100
22,"Trigonognathus_kabeyai","Trigonognathus kabeyai",67.9165905504409,102.576495183237,0.01,0,4025,1,100
23,"Alopias_vulpinus","Alopias vulpinus",67.3450667004608,98.4340338242859,0.01,0,4025,1,100
24,"Eucrossorhinus_dasypogon","Eucrossorhinus dasypogon",67.3229699462031,96.6127017348876,0.01,0,4025,1,100
25,"Leptocharias_smithii","Leptocharias smithii",66.7882810337066,93.7517607163874,0.01,0,4025,1,100
26,"Pseudotriakis_microdon","Pseudotriakis microdon",66.5558529522891,103.374391826709,0.01,0,4025,1,100
27,"Pliotrema_warreni","Pliotrema warreni",66.4266105303699,95.9831511807791,0.01,0,4025,1,100
28,"Alopias_pelagicus","Alopias pelagicus",66.1031777010132,97.241663852996,0.01,0,4025,1,100
29,"Pristis_clavata","Pristis clavata",65.771373211046,98.9274141302665,0.01,0,4025,1,100
