"Rank_EH","species_tree","species","EvoHeritage","Ancestral_EvoHeritage","rho","min_age","max_age","lambda","repeats"
1,"Platyrhinoidis_triseriata","Platyrhinoidis triseriata",39.3159032914086,50.8460393773824,0.01,66,4025,1,100
2,"Zanobatus_schoenleinii","Zanobatus schoenleinii",39.0845664626033,47.3072766775032,0.01,66,4025,1,100
3,"Heterodontus_francisci","Heterodontus francisci",32.4428418556581,54.6585706572404,0.01,66,4025,1,100
4,"Hypnos_monopterygius","Hypnos monopterygius",31.514449686493,51.3806486067672,0.01,66,4025,1,100
5,"Mitsukurina_owstoni","Mitsukurina owstoni",29.9409127474861,51.5432253619236,0.01,66,4025,1,100
6,"Notorynchus_cepedianus","Notorynchus cepedianus",28.9643411235372,66.5378309080175,0.01,66,4025,1,100
7,"Hexatrygon_bickelli","Hexatrygon bickelli",28.1351743918099,48.6582856578936,0.01,66,4025,1,100
8,"Zapteryx_brevirostris","Zapteryx brevirostris",26.88202425447,48.2264359766062,0.01,66,4025,1,100
9,"Anoxypristis_cuspidata","Anoxypristis cuspidata",26.8254738615311,48.9379406372011,0.01,66,4025,1,100
10,"Pseudoginglymostoma_brevicaudatum","Pseudoginglymostoma brevicaudatum",26.5696136024982,51.3962598022856,0.01,66,4025,1,100
11,"Brachaelurus_waddi","Brachaelurus waddi",26.3353414350832,50.6183855571212,0.01,66,4025,1,100
12,"Dalatias_licha","Dalatias licha",25.6686712935167,52.915171256075,0.01,66,4025,1,100
13,"Brachaelurus_colcloughi","Brachaelurus colcloughi",25.2479759741452,49.2293791040323,0.01,66,4025,1,100
14,"Rhina_ancylostoma","Rhina ancylostoma",25.1129108913759,54.3645776770385,0.01,66,4025,1,100
15,"Carcharias_taurus","Carcharias taurus",24.5827571689558,54.3146701143541,0.01,66,4025,1,100
16,"Trygonorrhina_melaleuca","Trygonorrhina melaleuca",23.030193729758,50.3698347418734,0.01,66,4025,1,100
17,"Plesiobatis_daviesi","Plesiobatis daviesi",22.6340063049022,47.9813785765798,0.01,66,4025,1,100
18,"Alopias_superciliosus","Alopias superciliosus",22.5107839368468,48.5702747322341,0.01,66,4025,1,100
19,"Heterodontus_mexicanus","Heterodontus mexicanus",22.1567995525913,50.286180132152,0.01,66,4025,1,100
20,"Pliotrema_warreni","Pliotrema warreni",22.0250951843652,53.7973848460814,0.01,66,4025,1,100
21,"Pristis_pristis","Pristis pristis",21.6981537926421,52.7816902420435,0.01,66,4025,1,100
22,"Eucrossorhinus_dasypogon","Eucrossorhinus dasypogon",21.2666510326363,54.3292094215202,0.01,66,4025,1,100
23,"Cetorhinus_maximus","Cetorhinus maximus",20.3296236435696,49.2727793853025,0.01,66,4025,1,100
24,"Chlamydoselachus_anguineus","Chlamydoselachus anguineus",19.3351458348166,52.7791073716056,0.01,66,4025,1,100
25,"Chlamydoselachus_africana","Chlamydoselachus africana",19.3351458348166,52.7791073716056,0.01,66,4025,1,100
26,"Trigonognathus_kabeyai","Trigonognathus kabeyai",19.3155082413862,48.6279300283319,0.01,66,4025,1,100
27,"Trygonorrhina_fasciata","Trygonorrhina fasciata",19.0094385074835,48.3369514688769,0.01,66,4025,1,100
28,"Rhinobatos_penggali","Rhinobatos penggali",18.8862373363017,52.8150489023747,0.01,66,4025,1,100
29,"Alopias_pelagicus","Alopias pelagicus",18.6657335367834,53.4308909375806,0.01,66,4025,1,100
30,"Leptocharias_smithii","Leptocharias smithii",18.1595494076948,51.5619863473496,0.01,66,4025,1,100
31,"Trygonorrhina_dumerilii","Trygonorrhina dumerilii",18.1176815068757,47.3452854802436,0.01,66,4025,1,100
32,"Alopias_vulpinus","Alopias vulpinus",17.8244935254022,54.6470325815275,0.01,66,4025,1,100
33,"Platyrhina_hyugaensis","Platyrhina hyugaensis",17.7621441169153,46.5487225342931,0.01,66,4025,1,100
