"species","major_group"
"Pristiophorus nudipinnis","shark"
"Pristiophorus schroederi","shark"
"Pristis clavata","ray"
"Pristis pectinata","ray"
"Pristis pristis","ray"
"Pristis zijsron","ray"
"Proscyllium habereri","shark"
"Proscyllium magnificum","shark"
"Proscyllium venustum","shark"
"Proscymnodon macracanthus","shark"
"Proscymnodon plunketi","shark"
"Psammobatis bergi","ray"
"Psammobatis extenta","ray"
"Psammobatis lentiginosa","ray"
"Psammobatis normani","ray"
"Psammobatis parvacauda","ray"
"Psammobatis rudis","ray"
"Psammobatis rutrum","ray"
"Psammobatis scobina","ray"
"Pseudocarcharias kamoharai","shark"
"Pseudoginglymostoma brevicaudatum","shark"
"Pseudoraja fischeri","ray"
"Pseudotriakis microdon","shark"
"Pteromylaeus asperrimus","ray"
"Pteromylaeus bovinus","ray"
"Pteroplatytrygon violacea","ray"
"Raja ackleyi","ray"
"Raja africana","ray"
"Raja asterias","ray"
"Raja atriventralis","ray"
"Raja bahamensis","ray"
"Raja brachyura","ray"
"Raja cervigoni","ray"
"Raja chinensis","ray"
"Raja clavata","ray"
"Raja cortezensis","ray"
"Raja eglanteria","ray"
"Raja equatorialis","ray"
"Raja herwigi","ray"
"Raja inornata","ray"
"Raja macrorynchus","ray"
"Raja maderensis","ray"
"Raja microocellata","ray"
"Raja miraletus","ray"
"Raja montagui","ray"
"Raja polystigma","ray"
"Raja radula","ray"
"Raja rhina","ray"
"Raja rondeleti","ray"
"Raja rouxi","ray"
"Raja stellulata","ray"
"Raja straeleni","ray"
"Raja texana","ray"
"Raja undulata","ray"
"Raja velezi","ray"
"Rajella alia","unknown"
"Rajella annandalei","ray"
"Rajella barnardi","ray"
"Rajella bathyphila","ray"
"Rajella bigelowi","ray"
"Rajella caudaspinosa","ray"
"Rajella challengeri","ray"
"Rajella dissimilis","ray"
"Rajella eisenhardti","ray"
"Rajella fuliginea","ray"
"Rajella fyllae","ray"
"Rajella kukujevi","ray"
"Rajella leopardus","ray"
"Rajella lintea","ray"
"Rajella nigerrima","ray"
"Rajella purpuriventralis","ray"
"Rajella ravidula","ray"
"Rajella sadowskii","ray"
"Rhina ancylostoma","ray"
"Rhincodon typus","shark"
"Rhinobatos albomaculatus","ray"
"Rhinobatos annandalei","ray"
"Rhinobatos formosensis","ray"
"Rhinobatos glaucostigma","ray"
"Rhinobatos holcorhynchus","ray"
"Rhinobatos horkelii","ray"
"Rhinobatos hynnicephalus","ray"
"Rhinobatos irvinei","ray"
"Rhinobatos jimbaranensis","ray"
"Rhinobatos lentiginosus","ray"
"Rhinobatos leucorhynchus","ray"
"Rhinobatos lionotus","ray"
"Rhinobatos nudidorsalis","ray"
"Rhinobatos penggali","ray"
"Rhinobatos percellens","ray"
"Rhinobatos planiceps","ray"
"Rhinobatos prahli","ray"
"Rhinobatos productus","ray"
"Rhinobatos punctifer","ray"
"Rhinobatos rhinobatos","ray"
"Rhinobatos sainsburyi","ray"
"Rhinobatos schlegelii","ray"
"Rhinochimaera africana","chimaera"
"Rhinochimaera atlantica","chimaera"
"Rhinochimaera pacifica","chimaera"
"Rhinoptera adspersa","ray"
"Rhinoptera bonasus","ray"
"Rhinoptera brasiliensis","ray"
"Rhinoptera hainanensis","unknown"
"Rhinoptera javanica","ray"
"Rhinoptera jayakari","ray"
"Rhinoptera marginata","ray"
"Rhinoptera neglecta","ray"
"Rhinoptera peli","ray"
"Rhinoptera sewelli","ray"
"Rhinoptera steindachneri","ray"
"Rhinoraja albomaculata","ray"
"Rhinoraja kujiensis","ray"
"Rhinoraja longicauda","ray"
"Rhinoraja macloviana","ray"
"Rhinoraja magellanica","ray"
"Rhinoraja multispinis","ray"
"Rhinoraja murrayi","ray"
"Rhinoraja odai","ray"
"Rhinoraja taranetzi","ray"
"Rhizoprionodon acutus","shark"
"Rhizoprionodon lalandii","shark"
"Rhizoprionodon longurio","shark"
"Rhizoprionodon oligolinx","shark"
"Rhizoprionodon porosus","shark"
"Rhizoprionodon taylori","shark"
"Rhizoprionodon terraenovae","shark"
"Rhynchobatus australiae","ray"
"Rhynchobatus djiddensis","ray"
"Rhynchobatus laevis","ray"
"Rhynchobatus luebberti","ray"
"Rhynchobatus palpebratus","ray"
"Rhynchobatus springeri","ray"
"Rioraja agassizii","ray"
"Rostroraja alba","ray"
"Schroederichthys bivius","shark"
"Schroederichthys chilensis","shark"
"Schroederichthys maculatus","shark"
"Schroederichthys saurisqualus","shark"
"Schroederichthys tenuis","shark"
"Scoliodon laticaudus","shark"
"Scoliodon macrorhynchos","shark"
"Scyliorhinus besnardi","shark"
"Scyliorhinus boa","shark"
"Scyliorhinus canicula","shark"
"Scyliorhinus capensis","shark"
"Scyliorhinus cervigoni","shark"
"Scyliorhinus comoroensis","shark"
"Scyliorhinus garmani","shark"
"Scyliorhinus haeckelii","shark"
"Scyliorhinus hesperius","shark"
"Scyliorhinus meadi","shark"
"Scyliorhinus retifer","shark"
"Scyliorhinus stellaris","shark"
"Scyliorhinus tokubee","shark"
"Scyliorhinus torazame","shark"
"Scyliorhinus torrei","shark"
"Scylliogaleus quecketti","shark"
"Scymnodalatias albicauda","shark"
"Scymnodalatias garricki","shark"
"Scymnodalatias oligodon","shark"
"Scymnodalatias sherwoodi","shark"
"Scymnodon ringens","shark"
"Sinobatis borneensis","ray"
"Sinobatis bulbicauda","ray"
"Sinobatis caerulea","ray"
"Sinobatis filicauda","ray"
"Sinobatis melanosoma","ray"
"Somniosus antarcticus","shark"
"Somniosus longus","shark"
"Somniosus microcephalus","shark"
"Somniosus pacificus","shark"
"Somniosus rostratus","shark"
"Sphyrna corona","shark"
"Sphyrna lewini","shark"
"Sphyrna media","shark"
"Sphyrna mokarran","shark"
"Sphyrna tiburo","shark"
"Sphyrna tudes","shark"
"Sphyrna zygaena","shark"
"Spiniraja whitleyi","ray"
"Squaliolus aliae","shark"
"Squaliolus laticaudus","shark"
"Squalus acanthias","shark"
"Squalus albifrons","shark"
"Squalus altipinnis","shark"
"Squalus blainville","shark"
"Squalus brevirostris","shark"
"Squalus bucephalus","shark"
"Squalus chloroculus","shark"
"Squalus crassispinus","shark"
"Squalus cubensis","shark"
"Squalus edmundsi","shark"
"Squalus formosus","shark"
"Squalus grahami","shark"
"Squalus griffini","shark"
"Squalus hemipinnis","shark"
"Squalus japonicus","shark"
"Squalus lalannei","shark"
"Squalus megalops","shark"
"Squalus melanurus","shark"
"Squalus mitsukurii","shark"
"Squalus montalbani","shark"
"Squalus nasutus","shark"
"Squalus notocaudatus","shark"
"Squalus rancureli","shark"
"Squalus raoulensis","shark"
"Squalus suckleyi","shark"
"Squatina aculeata","shark"
"Squatina africana","shark"
"Squatina albipunctata","shark"
"Squatina argentina","shark"
"Squatina armata","shark"
"Squatina australis","shark"
"Squatina caillieti","shark"
"Squatina californica","shark"
"Squatina dumeril","shark"
"Squatina formosa","shark"
"Squatina guggenheim","shark"
"Squatina japonica","shark"
"Squatina legnota","shark"
"Squatina nebulosa","shark"
"Squatina occulta","shark"
"Squatina oculata","shark"
"Squatina pseudocellata","shark"
"Squatina squatina","shark"
"Squatina tergocellata","shark"
"Squatina tergocellatoides","shark"
"Stegostoma fasciatum","shark"
"Sutorectus tentaculatus","shark"
"Sympterygia acuta","ray"
"Sympterygia bonapartii","ray"
"Sympterygia brevicaudata","ray"
"Sympterygia lima","ray"
"Taeniura lymma","ray"
"Taeniurops grabata","ray"
"Taeniurops meyeni","ray"
"Temera hardwickii","ray"
"Torpedo adenensis","ray"
"Torpedo alexandrinsis","ray"
"Torpedo andersoni","ray"
"Torpedo bauchotae","ray"
"Torpedo californica","ray"
"Torpedo fairchildi","ray"
"Torpedo formosa","ray"
"Torpedo fuscomaculata","ray"
"Torpedo mackayana","ray"
"Torpedo macneilli","ray"
"Torpedo marmorata","ray"
"Torpedo microdiscus","ray"
"Torpedo nobiliana","ray"
"Torpedo panthera","ray"
"Torpedo peruana","ray"
"Torpedo polleni","ray"
"Torpedo puelcha","ray"
"Torpedo semipelagica","ray"
"Torpedo sinuspersici","ray"
"Torpedo suessii","ray"
"Torpedo tokionis","ray"
"Torpedo torpedo","ray"
"Torpedo tremens","ray"
"Torpedo zugmayeri","ray"
"Triaenodon obesus","shark"
"Triakis acutipinna","shark"
"Triakis maculata","shark"
"Triakis megalopterus","shark"
"Triakis scyllium","shark"
"Triakis semifasciata","shark"
"Trigonognathus kabeyai","shark"
"Trygonoptera galba","ray"
"Trygonoptera imitata","ray"
"Trygonoptera mucosa","ray"
"Trygonoptera ovalis","ray"
"Trygonoptera personata","ray"
"Trygonoptera testacea","ray"
"Trygonorrhina dumerilii","ray"
"Trygonorrhina fasciata","ray"
"Trygonorrhina melaleuca","ray"
"Typhlonarke aysoni","ray"
"Typhlonarke tarakea","ray"
"Urobatis concentricus","ray"
"Urobatis halleri","ray"
"Urobatis jamaicensis","ray"
"Urobatis maculatus","ray"
"Urobatis marmoratus","ray"
"Urobatis tumbesensis","ray"
"Urogymnus asperrimus","ray"
"Urogymnus ukpam","ray"
"Urolophus armatus","ray"
"Urolophus aurantiacus","ray"
"Urolophus bucculentus","ray"
"Urolophus circularis","ray"
"Urolophus cruciatus","ray"
"Urolophus deforgesi","ray"
"Urolophus expansus","ray"
"Urolophus flavomosaicus","ray"
"Urolophus gigas","ray"
"Urolophus javanicus","ray"
"Urolophus kaianus","ray"
"Urolophus kapalensis","ray"
"Urolophus lobatus","ray"
"Urolophus mitosis","ray"
"Urolophus neocaledoniensis","ray"
"Urolophus orarius","ray"
"Urolophus papilio","ray"
"Urolophus paucimaculatus","ray"
"Urolophus piperatus","ray"
"Urolophus sufflavus","ray"
"Urolophus viridis","ray"
"Urolophus westraliensis","ray"
"Urotrygon aspidura","ray"
"Urotrygon caudispinosus","ray"
"Urotrygon chilensis","ray"
"Urotrygon cimar","ray"
"Urotrygon microphthalmum","ray"
"Urotrygon munda","ray"
"Urotrygon nana","ray"
"Urotrygon peruanus","ray"
"Urotrygon reticulata","ray"
"Urotrygon rogersi","ray"
"Urotrygon serrula","ray"
"Urotrygon simulatrix","ray"
"Urotrygon venezuelae","ray"
"Zameus ichiharai","shark"
"Zameus squamulosus","shark"
"Zanobatus schoenleinii","ray"
"Zapteryx brevirostris","ray"
"Zapteryx exasperata","ray"
"Zapteryx xyster","ray"
"Zearaja argentinensis","unknown"
"Zearaja chilensis","ray"
"Zearaja maugeana","ray"
"Zearaja nasuta","ray"
