"species","major_group"
"Carcharhinus longimanus","shark"
"Carcharhinus macloti","shark"
"Carcharhinus melanopterus","shark"
"Carcharhinus obscurus","shark"
"Carcharhinus perezii","shark"
"Carcharhinus plumbeus","shark"
"Carcharhinus porosus","shark"
"Carcharhinus sealei","shark"
"Carcharhinus signatus","shark"
"Carcharhinus sorrah","shark"
"Carcharhinus tilstoni","shark"
"Carcharhinus tjutjot","shark"
"Carcharhinus wheeleri","shark"
"Carcharias taurus","shark"
"Carcharodon carcharias","shark"
"Centrophorus atromarginatus","shark"
"Centrophorus granulosus","shark"
"Centrophorus harrissoni","shark"
"Centrophorus isodon","shark"
"Centrophorus lusitanicus","shark"
"Centrophorus moluccensis","shark"
"Centrophorus seychellorum","shark"
"Centrophorus squamosus","shark"
"Centrophorus tessellatus","shark"
"Centrophorus westraliensis","shark"
"Centrophorus zeehaani","shark"
"Centroscyllium excelsum","shark"
"Centroscyllium fabricii","shark"
"Centroscyllium granulatum","shark"
"Centroscyllium kamoharai","shark"
"Centroscyllium nigrum","shark"
"Centroscyllium ornatum","shark"
"Centroscyllium ritteri","shark"
"Centroscymnus coelolepis","shark"
"Centroscymnus owstonii","shark"
"Centroselachus crepidater","shark"
"Cephaloscyllium albipinnum","shark"
"Cephaloscyllium cooki","shark"
"Cephaloscyllium fasciatum","shark"
"Cephaloscyllium hiscosellum","shark"
"Cephaloscyllium isabellum","shark"
"Cephaloscyllium laticeps","shark"
"Cephaloscyllium maculatum","shark"
"Cephaloscyllium pardelotum","shark"
"Cephaloscyllium pictum","shark"
"Cephaloscyllium sarawakensis","shark"
"Cephaloscyllium signourum","shark"
"Cephaloscyllium silasi","shark"
"Cephaloscyllium speccum","shark"
"Cephaloscyllium stevensi","shark"
"Cephaloscyllium sufflans","shark"
"Cephaloscyllium umbratile","shark"
"Cephaloscyllium variegatum","shark"
"Cephaloscyllium ventriosum","shark"
"Cephaloscyllium zebrum","shark"
"Cephalurus cephalus","shark"
"Cetorhinus maximus","shark"
"Chaenogaleus macrostoma","shark"
"Chiloscyllium arabicum","shark"
"Chiloscyllium burmensis","shark"
"Chiloscyllium griseum","shark"
"Chiloscyllium hasseltii","shark"
"Chiloscyllium indicum","shark"
"Chiloscyllium plagiosum","shark"
"Chiloscyllium punctatum","shark"
"Chimaera argiloba","chimaera"
"Chimaera bahamaensis","chimaera"
"Chimaera cubana","chimaera"
"Chimaera fulva","chimaera"
"Chimaera jordani","chimaera"
"Chimaera lignaria","chimaera"
"Chimaera macrospina","chimaera"
"Chimaera monstrosa","chimaera"
"Chimaera notafricana","chimaera"
"Chimaera obscura","chimaera"
"Chimaera opalescens","chimaera"
"Chimaera owstoni","chimaera"
"Chimaera panthera","chimaera"
"Chimaera phantasma","chimaera"
"Chlamydoselachus africana","shark"
"Chlamydoselachus anguineus","shark"
"Cirrhigaleus asper","shark"
"Cirrhigaleus australis","shark"
"Cirrhigaleus barbifer","shark"
"Cirrhoscyllium expolitum","shark"
"Cirrhoscyllium formosanum","shark"
"Cirrhoscyllium japonicum","shark"
"Crassinarke dormitor","ray"
"Cruriraja andamanica","ray"
"Cruriraja atlantis","ray"
"Cruriraja cadenati","ray"
"Cruriraja durbanensis","ray"
"Cruriraja hulleyi","ray"
"Cruriraja parcomaculata","ray"
"Cruriraja poeyi","ray"
"Cruriraja rugosa","ray"
"Ctenacis fehlmanni","shark"
"Dactylobatus armatus","ray"
"Dactylobatus clarkii","ray"
"Dalatias licha","shark"
"Dasyatis acutirostra","ray"
"Dasyatis akajei","ray"
"Dasyatis americana","ray"
"Dasyatis bennetti","ray"
"Dasyatis brevicaudata","ray"
"Dasyatis centroura","ray"
"Dasyatis chrysonota","ray"
"Dasyatis colarensis","ray"
"Dasyatis dipterura","ray"
"Dasyatis fluviorum","ray"
"Dasyatis garouaensis","unknown"
"Dasyatis geijskesi","ray"
"Dasyatis gigantea","ray"
"Dasyatis guttata","ray"
"Dasyatis hastata","ray"
"Dasyatis hypostigma","ray"
"Dasyatis izuensis","ray"
"Dasyatis laevigata","ray"
"Dasyatis laosensis","unknown"
"Dasyatis lata","ray"
"Dasyatis longa","ray"
"Dasyatis margarita","ray"
"Dasyatis margaritella","ray"
"Dasyatis marianae","ray"
"Dasyatis marmorata","ray"
"Dasyatis matsubarai","ray"
"Dasyatis microps","ray"
"Dasyatis multispinosa","ray"
"Dasyatis navarrae","ray"
"Dasyatis parvonigra","ray"
"Dasyatis pastinaca","ray"
"Dasyatis rudis","ray"
"Dasyatis sabina","ray"
"Dasyatis say","ray"
"Dasyatis sinensis","ray"
"Dasyatis thetidis","ray"
"Dasyatis tortonesei","ray"
"Dasyatis ushiei","ray"
"Dasyatis zugei","ray"
"Deania calcea","shark"
"Deania hystricosa","shark"
"Deania profundorum","shark"
"Deania quadrispinosa","shark"
"Dentiraja flindersi","ray"
"Dentiraja lemprieri","ray"
"Diplobatis colombiensis","ray"
"Diplobatis guamachensis","ray"
"Diplobatis ommata","ray"
"Diplobatis pictus","ray"
"Dipturus acrobelus","ray"
"Dipturus apricus","ray"
"Dipturus australis","ray"
"Dipturus batis","ray"
"Dipturus bullisi","ray"
"Dipturus campbelli","ray"
"Dipturus canutus","ray"
"Dipturus cerva","ray"
"Dipturus confusus","ray"
"Dipturus crosnieri","ray"
"Dipturus doutrei","ray"
"Dipturus ecuadoriensis","ray"
"Dipturus endeavouri","ray"
"Dipturus falloargus","ray"
"Dipturus flavirostris","ray"
"Dipturus garricki","ray"
"Dipturus gigas","ray"
"Dipturus grahami","ray"
"Dipturus gudgeri","ray"
"Dipturus healdi","ray"
"Dipturus innominatus","ray"
"Dipturus intermedia","unknown"
"Dipturus johannisdavesi","ray"
"Dipturus kwangtungensis","ray"
"Dipturus laevis","ray"
"Dipturus lanceorostratus","ray"
"Dipturus leptocaudus","ray"
"Dipturus macrocauda","ray"
"Dipturus melanospilus","ray"
"Dipturus mennii","ray"
"Dipturus nidarosiensis","ray"
"Dipturus oculus","ray"
"Dipturus olseni","ray"
"Dipturus oregoni","ray"
"Dipturus oxyrinchus","ray"
"Dipturus polyommata","ray"
"Dipturus pullopunctata","ray"
"Dipturus queenslandicus","ray"
"Dipturus springeri","ray"
"Dipturus stenorhynchus","ray"
"Dipturus teevani","ray"
"Dipturus tengu","ray"
"Dipturus trachydermus","ray"
"Dipturus wengi","ray"
"Dipturus wuhanlingi","ray"
"Discopyge castelloi","ray"
"Discopyge tschudii","ray"
"Echinorhinus brucus","shark"
"Echinorhinus cookei","shark"
"Electrolux addisoni","ray"
"Eridacnis barbouri","shark"
"Eridacnis radcliffei","shark"
"Eridacnis sinuans","shark"
"Etmopterus bigelowi","shark"
"Etmopterus brachyurus","shark"
"Etmopterus bullisi","shark"
"Etmopterus burgessi","shark"
"Etmopterus carteri","shark"
"Etmopterus caudistigmus","shark"
"Etmopterus compagnoi","shark"
"Etmopterus decacuspidatus","shark"
"Etmopterus dianthus","shark"
"Etmopterus dislineatus","shark"
"Etmopterus evansi","shark"
"Etmopterus fusus","shark"
"Etmopterus gracilispinis","shark"
"Etmopterus granulosus","shark"
"Etmopterus hillianus","shark"
"Etmopterus joungi","shark"
"Etmopterus litvinovi","shark"
"Etmopterus lucifer","shark"
"Etmopterus molleri","shark"
"Etmopterus perryi","shark"
"Etmopterus polli","shark"
"Etmopterus princeps","shark"
"Etmopterus pseudosqualiolus","shark"
"Etmopterus pusillus","shark"
"Etmopterus pycnolepis","shark"
"Etmopterus robinsi","shark"
"Etmopterus schmidti","unknown"
"Etmopterus schultzi","shark"
"Etmopterus sculptus","shark"
"Etmopterus sentosus","shark"
"Etmopterus sheikoi","shark"
"Etmopterus spinax","shark"
"Etmopterus splendidus","shark"
"Etmopterus unicolor","shark"
"Etmopterus viator","shark"
"Etmopterus villosus","shark"
"Etmopterus virens","shark"
"Eucrossorhinus dasypogon","shark"
"Euprotomicroides zantedeschia","shark"
"Euprotomicrus bispinatus","shark"
"Eusphyra blochii","shark"
"Fenestraja atripinna","ray"
"Fenestraja cubensis","ray"
"Fenestraja ishiyamai","ray"
"Fenestraja maceachrani","ray"
"Fenestraja mamillidens","ray"
"Fenestraja plutonia","ray"
"Fenestraja sibogae","ray"
"Fenestraja sinusmexicanus","ray"
"Figaro boardmani","shark"
"Figaro striatus","shark"
"Furgaleus macki","shark"
"Galeocerdo cuvier","shark"
"Galeorhinus galeus","shark"
"Galeus antillensis","shark"
"Galeus arae","shark"
"Galeus atlanticus","shark"
"Galeus cadenati","shark"
"Galeus eastmani","shark"
"Galeus gracilis","shark"
"Galeus longirostris","shark"
"Galeus melastomus","shark"
"Galeus mincaronei","shark"
"Galeus murinus","shark"
"Galeus nipponensis","shark"
"Galeus piperatus","shark"
"Galeus polli","shark"
"Galeus priapus","shark"
"Galeus sauteri","shark"
"Galeus schultzi","shark"
"Galeus springeri","shark"
"Ginglymostoma cirratum","shark"
"Glaucostegus cemiculus","ray"
"Glaucostegus granulatus","ray"
"Glaucostegus halavi","ray"
"Glaucostegus microphthalmus","ray"
"Glaucostegus obtusus","ray"
"Glaucostegus spinosus","ray"
"Glaucostegus thouin","ray"
"Glaucostegus typus","ray"
"Glyphis fowlerae","unknown"
"Glyphis gangeticus","shark"
"Glyphis garricki","shark"
"Glyphis glyphis","shark"
"Glyphis siamensis","shark"
"Glyphis sp.1","unknown"
"Gogolia filewoodi","shark"
"Gollum attenuatus","shark"
"Gollum suluensis","shark"
"Gurgesiella atlantica","ray"
"Gurgesiella dorsalifera","ray"
"Gurgesiella furvescens","ray"
"Gymnura afuerae","ray"
"Gymnura altavela","ray"
"Gymnura australis","ray"
"Gymnura bimaculata","ray"
"Gymnura crebripunctata","ray"
"Gymnura crooki","ray"
"Gymnura hirundo","ray"
"Gymnura japonica","ray"
"Gymnura marmorata","ray"
"Gymnura micrura","ray"
"Gymnura natalensis","ray"
"Gymnura poecilura","ray"
"Gymnura tentaculata","ray"
"Gymnura zonura","ray"
"Halaelurus boesemani","shark"
"Halaelurus buergeri","shark"
"Halaelurus lineatus","shark"
"Halaelurus maculosus","shark"
"Halaelurus natalensis","shark"
"Halaelurus quagga","shark"
"Halaelurus sellus","shark"
"Haploblepharus edwardsii","shark"
"Haploblepharus fuscus","shark"
"Haploblepharus kistnasamyi","shark"
"Haploblepharus pictus","shark"
"Harriotta haeckeli","chimaera"
"Harriotta raleighana","chimaera"
"Heliotrygon gomesi","unknown"
"Heliotrygon rosai","unknown"
"Hemigaleus australiensis","shark"
"Hemigaleus microstoma","shark"
"Hemipristis elongata","shark"
"Hemiscyllium freycineti","shark"
"Hemiscyllium galei","shark"
