"species","scientificname","valid_name","status","rank","class","order","family","genus"
"Chlamydoselachus africana","Chlamydoselachus africana","Chlamydoselachus africana","accepted","Species","Elasmobranchii","Hexanchiformes","Chlamydoselachidae","Chlamydoselachus"
"Notorynchus cepedianus","Notorynchus cepedianus","Notorynchus cepedianus","accepted","Species","Elasmobranchii","Hexanchiformes","Hexanchidae","Notorynchus"
"Hexanchus vitulus","Hexanchus vitulus","Hexanchus vitulus","accepted","Species","Elasmobranchii","Hexanchiformes","Hexanchidae","Hexanchus"
"Hexanchus griseus","Hexanchus griseus","Hexanchus griseus","accepted","Species","Elasmobranchii","Hexanchiformes","Hexanchidae","Hexanchus"
"Hexanchus nakamurai","Hexanchus nakamurai","Hexanchus nakamurai","accepted","Species","Elasmobranchii","Hexanchiformes","Hexanchidae","Hexanchus"
"Heptranchias perlo","Heptranchias perlo","Heptranchias perlo","accepted","Species","Elasmobranchii","Hexanchiformes","Hexanchidae","Heptranchias"
"Deania quadrispinosa","Deania quadrispinosa","Deania quadrispinosa","accepted","Species","Elasmobranchii","Squaliformes","Centrophoridae","Deania"
"Deania profundorum","Deania profundorum","Deania profundorum","accepted","Species","Elasmobranchii","Squaliformes","Centrophoridae","Deania"
"Deania hystricosa","Deania hystricosa","Deania hystricosa","accepted","Species","Elasmobranchii","Squaliformes","Centrophoridae","Deania"
"Deania calcea","Deania calcea","Deania calceus","unaccepted","Species","Elasmobranchii","Squaliformes","Centrophoridae","Deania"
"Centrophorus squamosus","Centrophorus squamosus","Centrophorus squamosus","accepted","Species","Elasmobranchii","Squaliformes","Centrophoridae","Centrophorus"
"Centrophorus granulosus","Centrophorus granulosus","Centrophorus granulosus","accepted","Species","Elasmobranchii","Squaliformes","Centrophoridae","Centrophorus"
