"species","scientificname","valid_name","status","rank","class","order","family","genus"
"Urolophus kapalensis","Urolophus kapalensis","Urolophus kapalensis","accepted","Species","Elasmobranchii","Myliobatiformes","Urolophidae","Urolophus"
"Urolophus lobatus","Urolophus lobatus","Urolophus lobatus","accepted","Species","Elasmobranchii","Myliobatiformes","Urolophidae","Urolophus"
"Urolophus kaianus","Urolophus kaianus","Urolophus kaianus","accepted","Species","Elasmobranchii","Myliobatiformes","Urolophidae","Urolophus"
"Urolophus viridis","Urolophus viridis","Urolophus viridis","accepted","Species","Elasmobranchii","Myliobatiformes","Urolophidae","Urolophus"
"Urolophus neocaledoniensis","Urolophus neocaledoniensis","Urolophus neocaledoniensis","accepted","Species","Elasmobranchii","Myliobatiformes","Urolophidae","Urolophus"
"Urolophus expansus","Urolophus expansus","Urolophus expansus","accepted","Species","Elasmobranchii","Myliobatiformes","Urolophidae","Urolophus"
"Urolophus gigas","Urolophus gigas","Urolophus gigas","accepted","Species","Elasmobranchii","Myliobatiformes","Urolophidae","Urolophus"
"Urolophus mitosis","Urolophus mitosis","Urolophus mitosis","accepted","Species","Elasmobranchii","Myliobatiformes","Urolophidae","Urolophus"
"Urolophus flavomosaicus","Urolophus flavomosaicus","Urolophus flavomosaicus","accepted","Species","Elasmobranchii","Myliobatiformes","Urolophidae","Urolophus"
"Urolophus bucculentus","Urolophus bucculentus","Urolophus bucculentus","accepted","Species","Elasmobranchii","Myliobatiformes","Urolophidae","Urolophus"
"Urolophus circularis","Urolophus circularis","Urolophus circularis","accepted","Species","Elasmobranchii","Myliobatiformes","Urolophidae","Urolophus"
"Gymnura altavela","Gymnura altavela","Gymnura altavela","accepted","Species","Elasmobranchii","Myliobatiformes","Gymnuridae","Gymnura"
"Gymnura tentaculata","Gymnura tentaculata","Gymnura tentaculata","accepted","Species","Elasmobranchii","Myliobatiformes","Gymnuridae","Gymnura"
"Gymnura natalensis","Gymnura natalensis","Gymnura natalensis","accepted","Species","Elasmobranchii","Myliobatiformes","Gymnuridae","Gymnura"
"Gymnura marmorata","Gymnura marmorata","Gymnura marmorata","accepted","Species","Elasmobranchii","Myliobatiformes","Gymnuridae","Gymnura"
"Gymnura crebripunctata","Gymnura crebripunctata","Gymnura crebripunctata","accepted","Species","Elasmobranchii","Myliobatiformes","Gymnuridae","Gymnura"
"Gymnura afuerae","Gymnura afuerae","Gymnura afuerae","accepted","Species","Elasmobranchii","Myliobatiformes","Gymnuridae","Gymnura"
"Gymnura micrura","Gymnura micrura","Gymnura micrura","accepted","Species","Elasmobranchii","Myliobatiformes","Gymnuridae","Gymnura"
"Gymnura poecilura","Gymnura poecilura","Gymnura poecilura","accepted","Species","Elasmobranchii","Myliobatiformes","Gymnuridae","Gymnura"
"Gymnura hirundo","Gymnura hirundo","Gymnura hirundo","accepted","Species","Elasmobranchii","Myliobatiformes","Gymnuridae","Gymnura"
"Gymnura zonura","Gymnura zonura","Gymnura zonura","accepted","Species","Elasmobranchii","Myliobatiformes","Gymnuridae","Gymnura"
"Gymnura bimaculata","Gymnura bimaculata","Gymnura bimaculata","accepted","Species","Elasmobranchii","Myliobatiformes","Gymnuridae","Gymnura"
"Gymnura crooki","Gymnura crooki","Gymnura crooki","accepted","Species","Elasmobranchii","Myliobatiformes","Gymnuridae","Gymnura"
"Gymnura japonica","Gymnura japonica","Gymnura japonica","accepted","Species","Elasmobranchii","Myliobatiformes","Gymnuridae","Gymnura"
"Gymnura australis","Gymnura australis","Gymnura australis","accepted","Species","Elasmobranchii","Myliobatiformes","Gymnuridae","Gymnura"
"Urobatis halleri","Urobatis halleri","Urobatis halleri","accepted","Species","Elasmobranchii","Myliobatiformes","Urotrygonidae","Urobatis"
"Urobatis maculatus","Urobatis maculatus","Urobatis maculatus","accepted","Species","Elasmobranchii","Myliobatiformes","Urotrygonidae","Urobatis"
"Urobatis concentricus","Urobatis concentricus","Urobatis concentricus","accepted","Species","Elasmobranchii","Myliobatiformes","Urotrygonidae","Urobatis"
"Urobatis marmoratus","Urobatis marmoratus","Urobatis marmoratus","accepted","Species","Elasmobranchii","Myliobatiformes","Urotrygonidae","Urobatis"
"Urobatis tumbesensis","Urobatis tumbesensis","Urobatis tumbesensis","accepted","Species","Elasmobranchii","Myliobatiformes","Urotrygonidae","Urobatis"
"Urobatis jamaicensis","Urobatis jamaicensis","Urobatis jamaicensis","accepted","Species","Elasmobranchii","Myliobatiformes","Urotrygonidae","Urobatis"
"Urotrygon serrula","Urotrygon serrula","Urotrygon serrula","accepted","Species","Elasmobranchii","Myliobatiformes","Urotrygonidae","Urotrygon"
"Urotrygon microphthalmum","Urotrygon microphthalmum","Urotrygon microphthalmum","accepted","Species","Elasmobranchii","Myliobatiformes","Urotrygonidae","Urotrygon"
"Urotrygon reticulata","Urotrygon reticulata","Urotrygon reticulata","accepted","Species","Elasmobranchii","Myliobatiformes","Urotrygonidae","Urotrygon"
"Urotrygon rogersi","Urotrygon rogersi","Urotrygon rogersi","accepted","Species","Elasmobranchii","Myliobatiformes","Urotrygonidae","Urotrygon"
"Urotrygon munda","Urotrygon munda","Urotrygon munda","accepted","Species","Elasmobranchii","Myliobatiformes","Urotrygonidae","Urotrygon"
"Urotrygon simulatrix","Urotrygon simulatrix","Urotrygon simulatrix","accepted","Species","Elasmobranchii","Myliobatiformes","Urotrygonidae","Urotrygon"
"Urotrygon caudispinosus","Urotrygon caudispinosus","Urotrygon caudispinosus","accepted","Species","Elasmobranchii","Myliobatiformes","Urotrygonidae","Urotrygon"
"Urotrygon venezuelae","Urotrygon venezuelae","Urotrygon venezuelae","accepted","Species","Elasmobranchii","Myliobatiformes","Urotrygonidae","Urotrygon"
"Urotrygon cimar","Urotrygon cimar","Urotrygon cimar","accepted","Species","Elasmobranchii","Myliobatiformes","Urotrygonidae","Urotrygon"
"Urotrygon nana","Urotrygon nana","Urotrygon nana","accepted","Species","Elasmobranchii","Myliobatiformes","Urotrygonidae","Urotrygon"
"Urotrygon aspidura","Urotrygon aspidura","Urotrygon aspidura","accepted","Species","Elasmobranchii","Myliobatiformes","Urotrygonidae","Urotrygon"
"Urotrygon chilensis","Urotrygon chilensis","Urotrygon chilensis","accepted","Species","Elasmobranchii","Myliobatiformes","Urotrygonidae","Urotrygon"
"Urotrygon peruanus","Urotrygon peruanus","Urotrygon peruanus","accepted","Species","Elasmobranchii","Myliobatiformes","Urotrygonidae","Urotrygon"
"Himantura schmardae","Himantura schmardae","Styracura schmardae","unaccepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Himantura"
"Himantura pacifica","Himantura pacifica","Styracura pacifica","unaccepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Himantura"
"Potamotrygon constellata",NA,NA,NA,NA,NA,NA,NA,NA
"Potamotrygon marinae",NA,NA,NA,NA,NA,NA,NA,NA
"Potamotrygon falkneri",NA,NA,NA,NA,NA,NA,NA,NA
"Potamotrygon schuemacheri",NA,NA,NA,NA,NA,NA,NA,NA
"Potamotrygon brachyura",NA,NA,NA,NA,NA,NA,NA,NA
"Potamotrygon henlei",NA,NA,NA,NA,NA,NA,NA,NA
"Potamotrygon humerosa",NA,NA,NA,NA,NA,NA,NA,NA
"Potamotrygon schroederi",NA,NA,NA,NA,NA,NA,NA,NA
"Potamotrygon tigrina",NA,NA,NA,NA,NA,NA,NA,NA
"Potamotrygon orbignyi",NA,NA,NA,NA,NA,NA,NA,NA
"Potamotrygon castexi",NA,NA,NA,NA,NA,NA,NA,NA
"Potamotrygon dumerilii",NA,NA,NA,NA,NA,NA,NA,NA
"Potamotrygon scobina",NA,NA,NA,NA,NA,NA,NA,NA
"Potamotrygon motoro",NA,NA,NA,NA,NA,NA,NA,NA
"Potamotrygon tatianae",NA,NA,NA,NA,NA,NA,NA,NA
"Plesiotrygon iwamae",NA,NA,NA,NA,NA,NA,NA,NA
"Plesiotrygon nana",NA,NA,NA,NA,NA,NA,NA,NA
"Potamotrygon boesemani",NA,NA,NA,NA,NA,NA,NA,NA
"Potamotrygon ocellata",NA,NA,NA,NA,NA,NA,NA,NA
"Potamotrygon yepezi",NA,NA,NA,NA,NA,NA,NA,NA
"Potamotrygon signata",NA,NA,NA,NA,NA,NA,NA,NA
"Potamotrygon leopoldi",NA,NA,NA,NA,NA,NA,NA,NA
"Potamotrygon magdalenae",NA,NA,NA,NA,NA,NA,NA,NA
"Potamotrygon hystrix",NA,NA,NA,NA,NA,NA,NA,NA
"Paratrygon aiereba",NA,NA,NA,NA,NA,NA,NA,NA
"Heliotrygon gomesi",NA,NA,NA,NA,NA,NA,NA,NA
"Heliotrygon rosai",NA,NA,NA,NA,NA,NA,NA,NA
"Taeniura lymma","Taeniura lymma","Taeniura lymma","accepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Taeniura"
"Neotrygon kuhlii","Neotrygon kuhlii","Neotrygon kuhlii","accepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Neotrygon"
"Neotrygon leylandi","Neotrygon leylandi","Neotrygon leylandi","accepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Neotrygon"
"Neotrygon picta","Neotrygon picta","Neotrygon picta","accepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Neotrygon"
"Neotrygon annotata","Neotrygon annotata","Neotrygon annotata","accepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Neotrygon"
"Neotrygon ningalooensis","Neotrygon ningalooensis","Neotrygon ningalooensis","accepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Neotrygon"
"Dasyatis sabina","Dasyatis sabina","Hypanus sabinus","unaccepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Dasyatis"
"Dasyatis sinensis","Dasyatis sinensis","Hemitrygon sinensis","unaccepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Dasyatis"
"Dasyatis gigantea","Dasyatis gigantea","Dasyatis gigantea","accepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Dasyatis"
"Dasyatis americana","Dasyatis americana","Hypanus americanus","unaccepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Dasyatis"
"Dasyatis marianae","Dasyatis marianae","Hypanus marianae","unaccepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Dasyatis"
"Dasyatis longa","Dasyatis longa","Hypanus longus","unaccepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Dasyatis"
"Dasyatis dipterura","Dasyatis dipterura","Hypanus dipterurus","unaccepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Dasyatis"
"Dasyatis say","Dasyatis say","Hypanus say","unaccepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Dasyatis"
"Dasyatis acutirostra","Dasyatis acutirostra","Telatrygon acutirostra","unaccepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Dasyatis"
"Dasyatis guttata","Dasyatis guttata","Hypanus guttatus","unaccepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Dasyatis"
"Dasyatis hypostigma","Dasyatis hypostigma","Dasyatis hypostigma","accepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Dasyatis"
"Dasyatis geijskesi","Dasyatis geijskesi","Fontitrygon geijskesi","unaccepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Dasyatis"
"Dasyatis colarensis","Dasyatis colarensis","Fontitrygon colarensis","unaccepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Dasyatis"
"Dasyatis garouaensis",NA,NA,NA,NA,NA,NA,NA,NA
"Dasyatis fluviorum","Dasyatis fluviorum","Hemitrygon fluviorum","unaccepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Dasyatis"
"Dasyatis tortonesei","Dasyatis tortonesei","Dasyatis tortonesei","accepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Dasyatis"
"Dasyatis akajei","Dasyatis akajei","Hemitrygon akajei","unaccepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Dasyatis"
"Dasyatis hastata","Dasyatis hastata","Dasyatis hastata","accepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Dasyatis"
"Dasyatis laosensis",NA,NA,NA,NA,NA,NA,NA,NA
"Dasyatis parvonigra","Dasyatis parvonigra","Hemitrygon parvonigra","unaccepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Dasyatis"
"Dasyatis bennetti","Dasyatis bennetti","Hemitrygon bennettii","unaccepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Dasyatis"
"Dasyatis navarrae","Dasyatis navarrae","Hemitrygon navarrae","unaccepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Dasyatis"
"Dasyatis izuensis","Dasyatis izuensis","Hemitrygon izuensis","unaccepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Dasyatis"
"Dasyatis laevigata","Dasyatis laevigata","Hemitrygon laevigata","unaccepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Dasyatis"
"Dasyatis zugei","Dasyatis zugei","Telatrygon zugei","unaccepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Dasyatis"
"Dasyatis ushiei","Dasyatis ushiei","Bathytoshia lata","unaccepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Dasyatis"
"Dasyatis thetidis","Dasyatis thetidis","Bathytoshia lata","unaccepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Dasyatis"
"Dasyatis centroura","Dasyatis centroura","Bathytoshia centroura","unaccepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Dasyatis"
"Pteroplatytrygon violacea","Pteroplatytrygon violacea","Pteroplatytrygon violacea","accepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Pteroplatytrygon"
"Dasyatis matsubarai","Dasyatis matsubarai","Bathytoshia brevicaudata","unaccepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Dasyatis"
"Dasyatis brevicaudata","Dasyatis brevicaudata","Bathytoshia brevicaudata","unaccepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Dasyatis"
"Dasyatis multispinosa","Dasyatis multispinosa","Dasyatis multispinosa","accepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Dasyatis"
"Dasyatis marmorata","Dasyatis marmorata","Dasyatis marmorata","accepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Dasyatis"
"Taeniurops grabata","Taeniurops grabata","Taeniurops grabatus","unaccepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Taeniurops"
"Taeniurops meyeni","Taeniurops meyeni","Taeniurops meyeni","accepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Taeniurops"
"Dasyatis rudis","Dasyatis rudis","Hypanus rudis","unaccepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Dasyatis"
"Dasyatis pastinaca","Dasyatis pastinaca","Dasyatis pastinaca","accepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Dasyatis"
"Dasyatis chrysonota","Dasyatis chrysonota","Dasyatis chrysonota","accepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Dasyatis"
"Dasyatis microps","Dasyatis microps","Megatrygon microps","unaccepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Dasyatis"
"Dasyatis margaritella","Dasyatis margaritella","Fontitrygon margaritella","unaccepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Dasyatis"
"Dasyatis margarita","Dasyatis margarita","Fontitrygon margarita","unaccepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Dasyatis"
"Himantura kittipongi",NA,NA,NA,NA,NA,NA,NA,NA
"Himantura fai","Himantura fai","Pateobatis fai","unaccepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Himantura"
"Himantura hortlei","Himantura hortlei","Pateobatis hortlei","unaccepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Himantura"
"Himantura uarnak","Himantura uarnak","Himantura uarnak","accepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Himantura"
"Himantura marginata","Himantura marginata","Himantura marginata","accepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Himantura"
"Himantura undulata","Himantura undulata","Himantura undulata","accepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Himantura"
"Himantura leoparda","Himantura leoparda","Himantura leoparda","accepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Himantura"
"Himantura toshi","Himantura toshi","Maculabatis toshi","unaccepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Himantura"
"Himantura astra","Himantura astra","Maculabatis astra","unaccepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Himantura"
"Himantura pastinacoides","Himantura pastinacoides","Maculabatis pastinacoides","unaccepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Himantura"
"Himantura signifer","Himantura signifer","Fluvitrygon signifer","unaccepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Himantura"
"Himantura oxyrhyncha","Himantura oxyrhyncha","Fluvitrygon oxyrhynchus","unaccepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Himantura"
"Himantura imbricata","Himantura imbricata","Brevitrygon imbricata","unaccepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Himantura"
"Dasyatis lata","Dasyatis lata","Bathytoshia lata","unaccepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Dasyatis"
"Himantura walga","Himantura walga","Brevitrygon walga","unaccepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Himantura"
"Himantura dalyensis","Himantura dalyensis","Urogymnus dalyensis","unaccepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Himantura"
"Himantura gerrardi","Himantura gerrardi","Maculabatis gerrardi","unaccepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Himantura"
"Himantura uarnacoides","Himantura uarnacoides","Pateobatis uarnacoides","unaccepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Himantura"
"Himantura jenkinsii","Himantura jenkinsii","Pateobatis jenkinsii","unaccepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Himantura"
"Himantura randalli","Himantura randalli","Maculabatis randalli","unaccepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Himantura"
"Urogymnus asperrimus","Urogymnus asperrimus","Urogymnus asperrimus","accepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Urogymnus"
"Urogymnus ukpam","Urogymnus ukpam","Fontitrygon ukpam","unaccepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Urogymnus"
"Himantura polylepis","Himantura polylepis","Urogymnus polylepis","unaccepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Himantura"
"Himantura granulata","Himantura granulata","Urogymnus granulatus","unaccepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Himantura"
"Himantura lobistoma","Himantura lobistoma","Urogymnus lobistoma","unaccepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Himantura"
"Makararaja chindwinensis",NA,NA,NA,NA,NA,NA,NA,NA
"Pastinachus stellurostris","Pastinachus stellurostris","Pastinachus stellurostris","accepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Pastinachus"
"Pastinachus solocirostris","Pastinachus solocirostris","Pastinachus solocirostris","accepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Pastinachus"
"Pastinachus sephen","Pastinachus sephen","Pastinachus sephen","accepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Pastinachus"
"Pastinachus gracilicaudus","Pastinachus gracilicaudus","Pastinachus gracilicaudus","accepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Pastinachus"
"Pastinachus atrus","Pastinachus atrus","Pastinachus ater","unaccepted","Species","Elasmobranchii","Myliobatiformes","Dasyatidae","Pastinachus"
"Chlamydoselachus anguineus","Chlamydoselachus anguineus","Chlamydoselachus anguineus","accepted","Species","Elasmobranchii","Hexanchiformes","Chlamydoselachidae","Chlamydoselachus"
