Trait,Raw p,BH-adjusted p
Body length,0.0007348662837799,0.0044091977026794
Trophic level,0.274378977737433,0.41156846660615
Maximum depth,0.521110760701057,0.625332912841268
Growth ratio,0.260995649775464,0.41156846660615
Shape PC1,0.90300066364976,0.90300066364976
Shape PC2,0.0663380675134042,0.199014202540213
