"Species stable across ED, 66 Ma and 145 Ma"
Chlamydoselachus africana
Chlamydoselachus anguineus
Hypnos monopterygius
Notorynchus cepedianus
Platyrhinoidis triseriata
Zanobatus schoenleinii
